dataset,scenario,method,seeds,epoch3_fpr,epoch3_tpr,epoch3_accuracy,steps5_fpr,steps5_tpr,steps5_accuracy
cifar10,6.2,fed_mdbscan_g,3,0.3993827160493827,,0.16026666666666667,0.2779012345679012,,0.1738
cifar10,6.2,fedavg,3,0.0,,0.3089,0.0,,0.1923
cifar10,6.2,flame_hdbscan,3,0.4545679012345679,,0.15306666666666668,0.46617283950617283,,0.16666666666666669
fashion_mnist,3.1,fed_mdbscan_g,3,0.19799382716049382,1.0,0.45133333333333336,0.06327160493827161,1.0,0.6161
fashion_mnist,3.1,fedavg,3,0.0,0.0,0.5587333333333333,0.0,0.0,0.5130333333333333
fashion_mnist,3.1,flame_hdbscan,3,0.35648148148148145,1.0,0.32156666666666667,0.3404320987654321,1.0,0.3703666666666667
fashion_mnist,3.1,fltrust_normalized,3,0.3479938271604938,0.5080246913580246,0.6738,0.3447530864197531,0.5111111111111111,0.6491333333333333
fashion_mnist,3.1,krum_bound30,3,0.1527777777777778,1.0,0.5145666666666666,0.1527777777777778,1.0,0.5001666666666666
fashion_mnist,6.2,fed_mdbscan_g,3,0.3869135802469136,,0.31766666666666665,0.16246913580246913,,0.46636666666666665
fashion_mnist,6.2,fedavg,3,0.0,,0.7363333333333333,0.0,,0.6372333333333333
fashion_mnist,6.2,flame_hdbscan,3,0.4696296296296296,,0.27736666666666665,0.45469135802469135,,0.31833333333333336
fashion_mnist,6.2,fltrust_normalized,3,0.3232098765432099,,0.6853666666666667,0.3295061728395062,,0.6712666666666667
fashion_mnist,6.2,krum_bound30,3,0.32222222222222224,,0.4004,0.32222222222222224,,0.37556666666666666
fashion_mnist,6.2,mdbg_l0_only,3,0.37419753086419755,,0.3176,0.15530864197530864,,0.46826666666666666
har,3.1,fed_mdbscan_g,3,0.1912037037037037,1.0,0.36771858387060286,0.0125,1.0,0.390453568600837
har,3.1,fedavg,3,0.0,0.0,0.3392150209252347,0.0,0.0,0.3112770048637032
har,3.1,flame_hdbscan,3,0.30540123456790125,1.0,0.35957470874335484,0.29074074074074074,1.0,0.282434113788033
har,3.1,fltrust_normalized,3,0.3106481481481482,0.5061728395061729,0.4320778192512159,0.3429012345679012,0.5080246913580246,0.38129170908268295
har,3.1,krum_bound30,3,0.1527777777777778,1.0,0.3556158805564981,0.1527777777777778,1.0,0.4407872412623007
har,6.2,fed_mdbscan_g,3,0.2437037037037037,,0.3508652867322701,0.01345679012345679,,0.4105870376654225
har,6.2,fedavg,3,0.0,,0.45526524148851943,0.0,,0.41126569392602647
har,6.2,flame_hdbscan,3,0.42407407407407405,,0.30347245786675714,0.4106172839506173,,0.29250084832032575
har,6.2,fltrust_normalized,3,0.31049382716049384,,0.34939486483429477,0.3182716049382716,,0.3411378803302794
har,6.2,krum_bound30,3,0.32222222222222224,,0.34566225540097273,0.32222222222222224,,0.4216717565886212
har,6.2,mdbg_l0_only,3,0.17209876543209876,,0.3374052708969574,0.009259259259259259,,0.4105870376654225
mnist,3.1,fed_mdbscan_g,3,0.12854938271604938,1.0,0.6417333333333333,0.08657407407407407,1.0,0.6217
mnist,3.1,fedavg,3,0.0,0.0,0.6071666666666666,0.0,0.0,0.4884
mnist,3.1,flame_hdbscan,3,0.35648148148148145,1.0,0.37353333333333333,0.34120370370370373,1.0,0.36733333333333335
mnist,3.1,fltrust_normalized,3,0.31234567901234567,0.47716049382716047,0.7423666666666666,0.2970679012345679,0.48518518518518516,0.7266
mnist,3.1,krum_bound30,3,0.1527777777777778,1.0,0.6331333333333333,0.1527777777777778,1.0,0.5867
mnist,6.2,fed_mdbscan_g,3,0.425679012345679,,0.2643333333333333,0.3493827160493827,,0.3284666666666667
mnist,6.2,fedavg,3,0.0,,0.8564666666666667,0.0,,0.7248666666666667
mnist,6.2,flame_hdbscan,3,0.48703703703703705,,0.20096666666666665,0.48728395061728397,,0.2053
mnist,6.2,fltrust_normalized,3,0.30320987654320986,,0.7409333333333333,0.3028395061728395,,0.7171000000000001
mnist,6.2,krum_bound30,3,0.32222222222222224,,0.4070666666666667,0.32222222222222224,,0.4033333333333333
mnist,6.2,mdbg_l0_only,3,0.4211111111111111,,0.26593333333333335,0.33024691358024694,,0.3333
