dataset,scenario,seed,rounds,final_accuracy,participants,l0_rejections,final_rejections,extra_final_rejections,valve_rounds,alarm_rounds,fresh_gate_rounds,memory_only_rounds,accepted_sample_mass,submitted_sample_mass,l0_fpr,final_fpr,retained_sample_mass_fraction,first_round_accepted_median_steps,first_round_rejected_median_steps,dominant_label_client_share,floor_clients,floor_dominant_label_share
mnist,1.1,42,30,0.956,2700,10,10,0,0,0,0,0,1330906,1337255,0.003703703703703704,0.003703703703703704,0.9952522144243244,43.5,,0.13,0,
mnist,1.1,137,30,0.9566,2700,5,5,0,0,0,0,0,1299558,1303373,0.001851851851851852,0.001851851851851852,0.99707297910882,40.5,,0.14,0,
mnist,1.1,2024,30,0.9565,2700,7,7,0,0,0,0,0,1343935,1347366,0.0025925925925925925,0.0025925925925925925,0.9974535501118479,45.0,,0.15,0,
mnist,6.1,42,30,0.9392,2700,1,1,0,0,0,0,0,1337537,1337858,0.00037037037037037035,0.00037037037037037035,0.9997600642220624,33.0,,0.15,4,0.75
mnist,6.1,137,30,0.9411,2700,7,7,0,0,0,0,0,1357404,1364650,0.0025925925925925925,0.0025925925925925925,0.9946902136078848,37.5,,0.13,6,0.5
mnist,6.1,2024,30,0.9438,2700,7,7,0,0,0,0,0,1348808,1354031,0.0025925925925925925,0.0025925925925925925,0.9961426289353789,33.0,,0.16,4,0.5
mnist,6.2,42,30,0.2522,2700,1114,1116,2,1,30,30,0,52385,1409637,0.41259259259259257,0.41333333333333333,0.03716204952055033,3.0,43.5,0.52,54,0.9074074074074074
mnist,6.2,137,30,0.2129,2700,1204,1213,9,5,30,30,0,34343,1289532,0.44592592592592595,0.44925925925925925,0.026632142513718156,3,42,0.58,56,0.9285714285714286
mnist,6.2,2024,30,0.3279,2700,1089,1119,30,0,30,30,0,33268,1367498,0.4033333333333333,0.41444444444444445,0.024327640698560436,3,63,0.52,59,0.8305084745762712
fashion_mnist,1.1,42,30,0.8559,2700,12,12,0,0,0,0,0,1374998,1383427,0.0044444444444444444,0.0044444444444444444,0.993907159539318,48.0,,0.16,0,
fashion_mnist,1.1,137,30,0.858,2700,4,4,0,0,0,0,0,1413521,1418037,0.0014814814814814814,0.0014814814814814814,0.9968153158203912,45.0,,0.12,0,
fashion_mnist,1.1,2024,30,0.8553,2700,17,17,0,0,0,0,0,1350570,1358555,0.006296296296296296,0.006296296296296296,0.9941224315541145,45.0,,0.12,0,
fashion_mnist,6.1,42,30,0.8251,2700,2,2,0,0,0,0,0,1296687,1297585,0.0007407407407407407,0.0007407407407407407,0.9993079451442487,33.0,,0.12,3,0.6666666666666666
fashion_mnist,6.1,137,30,0.8345,2700,12,12,0,0,0,0,0,1349082,1367526,0.0044444444444444444,0.0044444444444444444,0.9865128706876506,33.0,,0.13,4,0.25
fashion_mnist,6.1,2024,30,0.8429,2700,29,29,0,0,0,0,0,1384413,1471013,0.01074074074074074,0.01074074074074074,0.9411290042983984,37.5,,0.12,5,0.4
fashion_mnist,6.2,42,30,0.1998,2700,1219,1242,23,5,30,30,0,30582,1448946,0.4514814814814815,0.46,0.021106376635154106,3,81,0.35,56,0.5535714285714286
fashion_mnist,6.2,137,30,0.3591,2700,911,911,0,0,30,30,0,173292,1424294,0.33740740740740743,0.33740740740740743,0.12166870042280596,3.0,84.0,0.36,58,0.5689655172413793
fashion_mnist,6.2,2024,30,0.3941,2700,898,981,83,0,30,30,0,74519,1491292,0.3325925925925926,0.36333333333333334,0.049969422487346545,3.0,64.5,0.27,60,0.36666666666666664
har,1.1,42,30,0.839497794367153,2700,10,10,0,0,4,1,3,171088,172298,0.003703703703703704,0.003703703703703704,0.9929772835436279,6.0,12.0,0.22,12,0.4166666666666667
har,1.1,137,30,0.7665422463522226,2700,32,32,0,0,5,2,3,154778,158760,0.011851851851851851,0.011851851851851851,0.9749181153943058,6,12,0.21,10,0.3
har,1.1,2024,30,0.6810315575161181,2700,126,126,0,0,10,7,3,150951,168102,0.04666666666666667,0.04666666666666667,0.8979726594567584,6,15,0.22,5,0.4
har,6.1,42,30,0.47879199185612487,2700,318,341,23,0,29,25,4,112832,166641,0.11777777777777777,0.1262962962962963,0.6770962728260153,3.0,12.0,0.24,34,0.35294117647058826
har,6.1,137,30,0.5941635561588056,2700,530,701,171,0,30,29,1,82053,165216,0.1962962962962963,0.25962962962962965,0.4966407611853573,3.0,12.0,0.22,37,0.32432432432432434
har,6.1,2024,30,0.32507634882931796,2700,901,907,6,0,30,30,0,47222,168860,0.3337037037037037,0.3359259259259259,0.27965178254175055,3.0,15.0,0.27,48,0.4375
har,6.2,42,30,0.4166949440108585,2700,412,658,246,1,30,30,0,48847,164154,0.15259259259259259,0.2437037037037037,0.2975681372369848,3.0,22.5,0.46,81,0.5432098765432098
har,6.2,137,30,0.22259925347811332,2700,472,784,312,3,30,30,0,43309,161337,0.1748148148148148,0.2903703703703704,0.26843811400980555,3,9,0.47,80,0.575
har,6.2,2024,30,0.41330166270783847,2700,532,532,0,0,30,27,3,46510,172143,0.19703703703703704,0.19703703703703704,0.2701823483963914,3.0,24.0,0.32,75,0.38666666666666666
cifar10,6.1,42,30,0.5131,2700,2,2,0,0,0,0,0,1174779,1176253,0.0007407407407407407,0.0007407407407407407,0.9987468682332797,31.5,,0.12,2,0.5
cifar10,6.1,137,30,0.4891,2700,0,0,0,0,0,0,0,1103543,1103543,0.0,0.0,1.0,27.0,,0.14,7,0.42857142857142855
cifar10,6.1,2024,30,0.506,2700,8,8,0,0,0,0,0,1166612,1170332,0.002962962962962963,0.002962962962962963,0.9968214147780288,27.0,,0.12,4,0.25
cifar10,6.2,42,30,0.1538,2700,1156,1171,15,0,30,30,0,31676,1170860,0.42814814814814817,0.4337037037037037,0.027053618707616623,3,48,0.4,58,0.6379310344827587
cifar10,6.2,137,30,0.1479,2700,1215,1233,18,0,30,30,0,29352,1160669,0.45,0.45666666666666667,0.025288863577815898,3,21,0.41,62,0.6451612903225806
cifar10,6.2,2024,30,0.1791,2700,831,831,0,0,30,30,0,40634,1146200,0.30777777777777776,0.30777777777777776,0.0354510556621881,3,54,0.19,63,0.2698412698412698
