dataset,scenario,seed,quartile,fp,tn,steps_sum
mnist,1.1,42,3,5,664,52503
mnist,1.1,42,1,2,677,25125
mnist,1.1,42,2,3,677,34626
mnist,1.1,42,0,0,672,16731
mnist,1.1,137,1,0,682,23274
mnist,1.1,137,3,5,676,56601
mnist,1.1,137,0,0,672,14289
mnist,1.1,137,2,0,665,31818
mnist,1.1,2024,1,4,674,26031
mnist,1.1,2024,0,0,675,14766
mnist,1.1,2024,2,3,668,36000
mnist,1.1,2024,3,0,676,53448
mnist,6.1,42,3,0,667,75798
mnist,6.1,42,1,1,673,14958
mnist,6.1,42,2,0,683,32298
mnist,6.1,42,0,0,676,5853
mnist,6.1,137,3,5,675,77520
mnist,6.1,137,2,0,675,32904
mnist,6.1,137,0,0,674,4815
mnist,6.1,137,1,2,669,16470
mnist,6.1,2024,0,0,685,4698
mnist,6.1,2024,1,1,667,14622
mnist,6.1,2024,3,2,671,77334
mnist,6.1,2024,2,4,670,34365
mnist,6.2,42,3,663,3,122964
mnist,6.2,42,0,11,655,1998
mnist,6.2,42,2,440,243,8358
mnist,6.2,42,1,2,683,2055
mnist,6.2,137,0,68,595,1989
mnist,6.2,137,3,682,0,113235
mnist,6.2,137,2,411,256,6891
mnist,6.2,137,1,52,636,2064
mnist,6.2,2024,0,11,662,2019
mnist,6.2,2024,3,674,2,120642
mnist,6.2,2024,2,433,244,6969
mnist,6.2,2024,1,1,673,2022
fashion_mnist,1.1,42,2,2,680,36912
fashion_mnist,1.1,42,0,2,663,15471
fashion_mnist,1.1,42,1,2,673,27186
fashion_mnist,1.1,42,3,6,672,54411
fashion_mnist,1.1,137,0,0,673,15342
fashion_mnist,1.1,137,1,0,669,24801
fashion_mnist,1.1,137,3,3,672,59613
fashion_mnist,1.1,137,2,1,682,37032
fashion_mnist,1.1,2024,3,2,666,55485
fashion_mnist,1.1,2024,2,5,663,34536
fashion_mnist,1.1,2024,1,5,679,26109
fashion_mnist,1.1,2024,0,5,675,15342
fashion_mnist,6.1,42,0,0,674,5226
fashion_mnist,6.1,42,2,2,680,28008
fashion_mnist,6.1,42,1,0,668,16401
fashion_mnist,6.1,42,3,0,676,75345
fashion_mnist,6.1,137,2,0,674,31512
fashion_mnist,6.1,137,0,0,684,4755
fashion_mnist,6.1,137,3,12,661,81636
fashion_mnist,6.1,137,1,0,669,14355
fashion_mnist,6.1,2024,2,2,669,36060
fashion_mnist,6.1,2024,3,26,654,82743
fashion_mnist,6.1,2024,0,0,674,5550
fashion_mnist,6.1,2024,1,1,674,17475
fashion_mnist,6.2,42,0,29,641,2010
fashion_mnist,6.2,42,3,670,1,127602
fashion_mnist,6.2,42,2,502,167,7518
fashion_mnist,6.2,42,1,41,649,2070
fashion_mnist,6.2,137,0,0,663,1989
fashion_mnist,6.2,137,3,644,32,126498
fashion_mnist,6.2,137,2,267,407,6354
fashion_mnist,6.2,137,1,0,687,2061
fashion_mnist,6.2,2024,0,16,657,2019
fashion_mnist,6.2,2024,3,627,54,131754
fashion_mnist,6.2,2024,2,286,386,7365
fashion_mnist,6.2,2024,1,52,622,2022
har,1.1,42,2,0,674,5757
har,1.1,42,0,0,673,2439
har,1.1,42,1,0,676,4056
har,1.1,42,3,10,667,7950
har,1.1,137,2,2,662,4875
har,1.1,137,3,30,643,7608
har,1.1,137,1,0,682,3855
har,1.1,137,0,0,681,2043
har,1.1,2024,2,1,687,4875
har,1.1,2024,1,0,664,3984
har,1.1,2024,3,125,546,8238
har,1.1,2024,0,0,677,2433
har,6.1,42,3,282,389,9960
har,6.1,42,0,0,669,2007
har,6.1,42,2,59,615,4704
har,6.1,42,1,0,686,2229
har,6.1,137,2,257,420,4632
har,6.1,137,3,441,223,10308
har,6.1,137,1,3,682,2136
har,6.1,137,0,0,674,2022
har,6.1,2024,3,648,27,11370
har,6.1,2024,0,0,688,2064
har,6.1,2024,1,0,673,2019
har,6.1,2024,2,259,405,3822
har,6.2,42,0,7,671,2034
har,6.2,42,3,423,244,12300
har,6.2,42,1,123,545,2004
har,6.2,42,2,105,582,2061
har,6.2,137,0,3,674,2031
har,6.2,137,3,525,146,12048
har,6.2,137,1,74,605,2037
har,6.2,137,2,182,491,2019
har,6.2,2024,0,0,682,2046
har,6.2,2024,3,532,147,13482
har,6.2,2024,1,0,672,2016
har,6.2,2024,2,0,667,2001
cifar10,6.1,42,2,0,674,29187
cifar10,6.1,42,0,0,678,5196
cifar10,6.1,42,1,0,661,14346
cifar10,6.1,42,3,2,685,65070
cifar10,6.1,137,1,0,674,13875
cifar10,6.1,137,2,0,679,28665
cifar10,6.1,137,0,0,673,3546
cifar10,6.1,137,3,0,674,61131
cifar10,6.1,2024,1,0,667,12120
cifar10,6.1,2024,0,0,685,4263
cifar10,6.1,2024,3,2,665,68358
cifar10,6.1,2024,2,6,675,29019
cifar10,6.2,42,2,426,256,5112
cifar10,6.2,42,0,45,616,1983
cifar10,6.2,42,3,676,0,104079
cifar10,6.2,42,1,24,657,2043
cifar10,6.2,137,3,680,0,102954
cifar10,6.2,137,0,55,612,2001
cifar10,6.2,137,2,445,225,5202
cifar10,6.2,137,1,53,630,2049
cifar10,6.2,2024,0,0,679,2037
cifar10,6.2,2024,3,669,0,102435
cifar10,6.2,2024,2,162,510,4236
cifar10,6.2,2024,1,0,680,2040
