dataset,scenario,method,seed,accuracy,last5_accuracy,balanced_accuracy,fpr,tpr,alarm_rate,floor_fpr,above_floor_fpr,asr,extra_rejections,fallback_rounds
mnist,cut_gaussian,fed_mdbscan_g,42,0.466,0.46823999999999993,0.45575165363674464,-0.3844444444444444,,0.033333333333333326,-0.05405405405405406,-0.7852459016393443,,-7,0
mnist,cut_gaussian,fed_mdbscan_g,137,0.2386,0.23464000000000002,0.242495641407597,-0.16268518518518518,,0.0,-0.07074047748227381,-0.3108953027306217,,139,-5
mnist,cut_gaussian,fed_mdbscan_g,2024,0.1689,0.20086000000000004,0.17200811303180924,-0.23907407407407408,,0.06666666666666665,-0.05625245753607752,-0.509960715980126,,-54,0
mnist,cut_gaussian,mdbg_no_snnc_cutoff,42,0.46770000000000006,0.47025999999999996,0.45747047847839567,-0.38407407407407407,,0.033333333333333326,-0.05675675675675676,-0.7811475409836065,,-11,-10
mnist,cut_gaussian,mdbg_no_snnc_cutoff,137,0.21780000000000002,0.21383999999999997,0.22241400863249233,-0.24462962962962964,,0.0,-0.0716003227101328,-0.48742489149692064,,3,-8
mnist,cut_gaussian,mdbg_no_snnc_cutoff,2024,0.2395,0.23965999999999998,0.24372366786835803,-0.19712962962962963,,0.06666666666666665,-0.04587315457895536,-0.42017407603965856,,-3,3
mnist,cut_gaussian,mdbg_l0_only,42,0.46060000000000006,0.46219999999999994,0.4509089391007367,-0.38037037037037036,,0.033333333333333326,-0.052702702702702706,-0.7778688524590164,,0,0
mnist,cut_gaussian,mdbg_l0_only,137,0.23140000000000002,0.22992,0.23561775215059438,-0.24925925925925926,,0.0,-0.07246016793799179,-0.49645197274065184,,0,0
mnist,cut_gaussian,mdbg_l0_only,2024,0.2399,0.23981999999999998,0.24410247126964885,-0.19972222222222222,,0.06666666666666665,-0.04587315457895536,-0.42657846762245816,,0,0
mnist,cut_gaussian,fedavg,42,-0.3124,-0.3004000000000001,-0.3132241681106237,0.0,,0.0,0.0,0.0,,0,0
mnist,cut_gaussian,fedavg,137,-0.181,-0.14713999999999994,-0.1811255291643457,0.0,,0.0,0.0,0.0,,0,0
mnist,cut_gaussian,fedavg,2024,-0.20940000000000003,-0.22606000000000004,-0.20694861021272581,0.0,,0.0,0.0,0.0,,0,0
mnist,cut_minmax,fed_mdbscan_g,42,-0.14560000000000003,-0.13438000000000003,-0.1527560760947434,-0.3844444444444444,,-0.9666666666666667,-0.05405405405405406,-0.7852459016393443,,-7,0
mnist,cut_minmax,fed_mdbscan_g,137,-0.0686,-0.06625999999999999,-0.06033110184898144,-0.4066666666666667,,-1.0,-0.08535784635587657,-0.822429906542056,,0,-6
mnist,cut_minmax,fed_mdbscan_g,2024,-0.3579,-0.3501,-0.34939288667720164,-0.2548148148148148,,-0.9333333333333333,-0.060360920970752956,-0.5407136322049405,,-63,0
mnist,cut_minmax,mdbg_no_snnc_cutoff,42,-0.1439,-0.13236,-0.15103725125309236,-0.38407407407407407,,-0.9666666666666667,-0.05675675675675676,-0.7811475409836065,,-11,-12
mnist,cut_minmax,mdbg_no_snnc_cutoff,137,-0.0686,-0.06625999999999999,-0.06033110184898144,-0.4066666666666667,,-1.0,-0.08535784635587657,-0.822429906542056,,0,-28
mnist,cut_minmax,mdbg_no_snnc_cutoff,2024,-0.3579,-0.35194,-0.3494213345791291,-0.20407407407407407,,-0.9333333333333333,-0.049159925326695705,-0.43183897529734677,,-3,0
mnist,cut_minmax,mdbg_l0_only,42,-0.151,-0.14042000000000002,-0.15759879063075133,-0.38037037037037036,,-0.9666666666666667,-0.052702702702702706,-0.7778688524590164,,0,0
mnist,cut_minmax,mdbg_l0_only,137,-0.0686,-0.06625999999999999,-0.06033110184898144,-0.4066666666666667,,-1.0,-0.08535784635587657,-0.822429906542056,,0,0
mnist,cut_minmax,mdbg_l0_only,2024,-0.3575,-0.35178,-0.3490425311778383,-0.20666666666666667,,-0.9333333333333333,-0.049159925326695705,-0.43824336688014637,,0,0
mnist,cut_minmax,fedavg,42,-0.635,-0.6282800000000001,-0.6335798105004089,0.0,,0.0,0.0,0.0,,0,0
mnist,cut_minmax,fedavg,137,-0.5053,-0.4861,-0.5049675205839174,0.0,,0.0,0.0,0.0,,0,0
mnist,cut_minmax,fedavg,2024,-0.6082000000000001,-0.59518,-0.6059087419027216,0.0,,0.0,0.0,0.0,,0,0
