dataset,scenario,mode,method,accuracy,last5_accuracy,balanced_accuracy,fpr,tpr,alarm_rate,floor_fpr,above_floor_fpr,asr,extra_rejections,fallback_rounds
fashion_mnist,cut_backdoor,attacked,fed_mdbscan_g,0.7543333333333333,0.7536666666666667,0.7543333333333333,0.0,0.0,0.0,0.0,0.0,0.5258148148148148,0.0,0.0
fashion_mnist,cut_backdoor,attacked,fedavg,0.7543333333333333,0.7536666666666667,0.7543333333333333,0.0,0.0,0.0,0.0,0.0,0.5258148148148148,0.0,0.0
fashion_mnist,cut_backdoor,attacked,mdbg_l0_only,0.7543333333333333,0.7536666666666667,0.7543333333333333,0.0,0.0,0.0,0.0,0.0,0.5258148148148148,0.0,0.0
fashion_mnist,cut_backdoor,attacked,mdbg_no_snnc_cutoff,0.7543333333333333,0.7536666666666667,0.7543333333333333,0.0,0.0,0.0,0.0,0.0,0.5258148148148148,0.0,0.0
fashion_mnist,cut_backdoor,clean,fed_mdbscan_g,0.7580333333333332,0.7579333333333333,0.7580333333333332,0.0001234567901234568,,0.0,0.0,0.00012990387113535984,0.04362962962962963,0.0,0.0
fashion_mnist,cut_backdoor,clean,fedavg,0.7591333333333333,0.7581533333333333,0.7591333333333333,0.0,,0.0,0.0,0.0,0.042777777777777776,0.0,0.0
fashion_mnist,cut_backdoor,clean,mdbg_l0_only,0.7580333333333332,0.7579333333333333,0.7580333333333332,0.0001234567901234568,,0.0,0.0,0.00012990387113535984,0.04362962962962963,0.0,0.0
fashion_mnist,cut_backdoor,clean,mdbg_no_snnc_cutoff,0.7580333333333332,0.7579333333333333,0.7580333333333332,0.0001234567901234568,,0.0,0.0,0.00012990387113535984,0.04362962962962963,0.0,0.0
fashion_mnist,cut_gaussian,attacked,fed_mdbscan_g,0.6161,0.5991866666666666,0.6161,0.06327160493827161,1.0,1.0,0.009768566547274267,0.13346759835761784,,101.0,0.0
fashion_mnist,cut_gaussian,attacked,fedavg,0.5130333333333333,0.48844,0.5130333333333333,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
fashion_mnist,cut_gaussian,attacked,mdbg_l0_only,0.6345666666666666,0.62426,0.6345666666666666,0.004783950617283951,1.0,1.0,0.0,0.011850646529338038,,0.0,0.0
fashion_mnist,cut_gaussian,attacked,mdbg_no_snnc_cutoff,0.6335000000000001,0.6179733333333334,0.6335,0.012345679012345678,1.0,1.0,0.001416029453412631,0.026770958499497417,,15.333333333333334,23.666666666666668
fashion_mnist,cut_gaussian,clean,fed_mdbscan_g,0.4747666666666667,0.47128,0.4747666666666667,0.16148148148148148,,0.5111111111111111,0.033250956772978416,0.3288855984904218,,9.333333333333334,1.3333333333333333
fashion_mnist,cut_gaussian,clean,fedavg,0.6473666666666666,0.6407333333333334,0.6473666666666666,0.0,,0.0,0.0,0.0,,0.0,0.0
fashion_mnist,cut_gaussian,clean,mdbg_l0_only,0.47623333333333334,0.472,0.47623333333333334,0.15839506172839504,,0.5111111111111111,0.033250956772978416,0.32116239799613694,,0.0,0.0
fashion_mnist,cut_gaussian,clean,mdbg_no_snnc_cutoff,0.47623333333333334,0.4719866666666667,0.47623333333333334,0.16037037037037036,,0.5111111111111111,0.035889681179378,0.3223095489832177,,5.0,7.666666666666667
fashion_mnist,cut_minmax,attacked,fed_mdbscan_g,0.27366666666666667,0.27096,0.27366666666666667,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
fashion_mnist,cut_minmax,attacked,fedavg,0.27366666666666667,0.27096,0.27366666666666667,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
fashion_mnist,cut_minmax,attacked,mdbg_l0_only,0.27366666666666667,0.27096,0.27366666666666667,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
fashion_mnist,cut_minmax,attacked,mdbg_no_snnc_cutoff,0.27366666666666667,0.27096,0.27366666666666667,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
fashion_mnist,cut_minmax,clean,fed_mdbscan_g,0.4747666666666667,0.47128,0.4747666666666667,0.16148148148148148,,0.5111111111111111,0.033250956772978416,0.3288855984904218,,9.333333333333334,1.3333333333333333
fashion_mnist,cut_minmax,clean,fedavg,0.6473666666666666,0.6407333333333334,0.6473666666666666,0.0,,0.0,0.0,0.0,,0.0,0.0
fashion_mnist,cut_minmax,clean,mdbg_l0_only,0.47623333333333334,0.472,0.47623333333333334,0.15839506172839504,,0.5111111111111111,0.033250956772978416,0.32116239799613694,,0.0,0.0
fashion_mnist,cut_minmax,clean,mdbg_no_snnc_cutoff,0.47623333333333334,0.4719866666666667,0.47623333333333334,0.16037037037037036,,0.5111111111111111,0.035889681179378,0.3223095489832177,,5.0,7.666666666666667
mnist,cut_backdoor,attacked,fed_mdbscan_g,0.8710333333333334,0.8684866666666666,0.8685351821328395,0.0,0.0,0.0,0.0,0.0,0.7216925351071692,0.0,0.0
mnist,cut_backdoor,attacked,fedavg,0.8710333333333334,0.8684866666666666,0.8685351821328395,0.0,0.0,0.0,0.0,0.0,0.7216925351071692,0.0,0.0
mnist,cut_backdoor,attacked,mdbg_l0_only,0.8710333333333334,0.8684866666666666,0.8685351821328395,0.0,0.0,0.0,0.0,0.0,0.7216925351071692,0.0,0.0
mnist,cut_backdoor,attacked,mdbg_no_snnc_cutoff,0.8710333333333334,0.8684866666666666,0.8685351821328395,0.0,0.0,0.0,0.0,0.0,0.7216925351071692,0.0,0.0
mnist,cut_backdoor,clean,fed_mdbscan_g,0.8736333333333333,0.8721666666666668,0.8713551888390739,0.0,,0.0,0.0,0.0,0.01189948263118995,0.0,0.0
mnist,cut_backdoor,clean,fedavg,0.8736333333333333,0.8721666666666668,0.8713551888390739,0.0,,0.0,0.0,0.0,0.01189948263118995,0.0,0.0
mnist,cut_backdoor,clean,mdbg_l0_only,0.8736333333333333,0.8721666666666668,0.8713551888390739,0.0,,0.0,0.0,0.0,0.01189948263118995,0.0,0.0
mnist,cut_backdoor,clean,mdbg_no_snnc_cutoff,0.8736333333333333,0.8721666666666668,0.8713551888390739,0.0,,0.0,0.0,0.0,0.01189948263118995,0.0,0.0
mnist,cut_gaussian,attacked,fed_mdbscan_g,0.6217,0.6265,0.614269402853596,0.08657407407407408,1.0,1.0,0.006241944102759394,0.1807625066787496,,49.333333333333336,0.3333333333333333
mnist,cut_gaussian,attacked,fedavg,0.4884,0.48699333333333333,0.4844101671210211,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
mnist,cut_gaussian,attacked,mdbg_l0_only,0.6428333333333334,0.6384733333333333,0.6358914406807539,0.05478395061728395,1.0,1.0,0.005394816388541709,0.11254761101969747,,0.0,0.0
mnist,cut_gaussian,attacked,mdbg_no_snnc_cutoff,0.6383,0.6331133333333333,0.6314901928413865,0.05632716049382716,1.0,1.0,0.005681431464494704,0.1155566381009412,,1.0,8.333333333333334
mnist,cut_gaussian,clean,fed_mdbscan_g,0.33053333333333335,0.32525333333333334,0.3241842668282124,0.348641975308642,,0.9666666666666668,0.06659094046022786,0.7161298134621136,,23.333333333333332,2.0
mnist,cut_gaussian,clean,fedavg,0.7226666666666667,0.7115266666666668,0.7181762696169195,0.0,,0.0,0.0,0.0,,0.0,0.0
mnist,cut_gaussian,clean,mdbg_l0_only,0.3322,0.32782666666666666,0.3256817198404272,0.33123456790123457,,0.9666666666666668,0.06240682479509166,0.6795140419604063,,0.0,0.0
mnist,cut_gaussian,clean,mdbg_no_snnc_cutoff,0.3299666666666667,0.3251933333333333,0.3236208078483045,0.3316049382716049,,0.9666666666666668,0.06375817614644301,0.678472140941003,,4.666666666666667,13.333333333333334
mnist,cut_minmax,attacked,fed_mdbscan_g,0.13983333333333334,0.14167333333333332,0.1366909119545702,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
mnist,cut_minmax,attacked,fedavg,0.13983333333333334,0.14167333333333332,0.1366909119545702,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
mnist,cut_minmax,attacked,mdbg_l0_only,0.13983333333333334,0.14167333333333332,0.1366909119545702,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
mnist,cut_minmax,attacked,mdbg_no_snnc_cutoff,0.13983333333333334,0.14167333333333332,0.1366909119545702,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
mnist,cut_minmax,clean,fed_mdbscan_g,0.33053333333333335,0.32525333333333334,0.3241842668282124,0.348641975308642,,0.9666666666666668,0.06659094046022786,0.7161298134621136,,23.333333333333332,2.0
mnist,cut_minmax,clean,fedavg,0.7226666666666667,0.7115266666666668,0.7181762696169195,0.0,,0.0,0.0,0.0,,0.0,0.0
mnist,cut_minmax,clean,mdbg_l0_only,0.3322,0.32782666666666666,0.3256817198404272,0.33123456790123457,,0.9666666666666668,0.06240682479509166,0.6795140419604063,,0.0,0.0
mnist,cut_minmax,clean,mdbg_no_snnc_cutoff,0.3299666666666667,0.3251933333333333,0.3236208078483045,0.3316049382716049,,0.9666666666666668,0.06375817614644301,0.678472140941003,,4.666666666666667,13.333333333333334
