dataset,scenario,mode,method,seed,accuracy,last5_accuracy,balanced_accuracy,fpr,tpr,alarm_rate,fallback_rounds,l0_rejections,asr,extra_rejections,floor_honest_n,floor_honest_rejected,floor_fpr,above_floor_honest_n,above_floor_honest_rejected,above_floor_fpr
mnist,cut_gaussian,clean,fed_mdbscan_g,42,0.2795,0.2695,0.2860491899583487,0.3844444444444444,,0.9666666666666667,0,1031,,7,1480,80,0.05405405405405406,1220,958,0.7852459016393443
mnist,cut_gaussian,clean,fed_mdbscan_g,137,0.2135,0.21345999999999998,0.19917359146636066,0.4066666666666667,,1.0,6,1098,,0,1523,130,0.08535784635587657,1177,968,0.822429906542056
mnist,cut_gaussian,clean,fed_mdbscan_g,2024,0.4986,0.4928,0.48733001905992773,0.2548148148148148,,0.9333333333333333,0,625,,63,1607,97,0.060360920970752956,1093,591,0.5407136322049405
mnist,cut_gaussian,clean,mdbg_no_snnc_cutoff,42,0.2778,0.26748,0.2843303651166977,0.38407407407407407,,0.9666666666666667,12,1026,,11,1480,84,0.05675675675675676,1220,953,0.7811475409836065
mnist,cut_gaussian,clean,mdbg_no_snnc_cutoff,137,0.2135,0.21345999999999998,0.19917359146636066,0.4066666666666667,,1.0,28,1098,,0,1523,130,0.08535784635587657,1177,968,0.822429906542056
mnist,cut_gaussian,clean,mdbg_no_snnc_cutoff,2024,0.4986,0.49463999999999997,0.4873584669618552,0.20407407407407407,,0.9333333333333333,0,548,,3,1607,79,0.049159925326695705,1093,472,0.43183897529734677
mnist,cut_gaussian,clean,mdbg_l0_only,42,0.2849,0.27554,0.29089190449435665,0.38037037037037036,,0.9666666666666667,0,1027,,0,1480,78,0.052702702702702706,1220,949,0.7778688524590164
mnist,cut_gaussian,clean,mdbg_l0_only,137,0.2135,0.21345999999999998,0.19917359146636066,0.4066666666666667,,1.0,0,1098,,0,1523,130,0.08535784635587657,1177,968,0.822429906542056
mnist,cut_gaussian,clean,mdbg_l0_only,2024,0.4982,0.49448,0.4869796635605644,0.20666666666666667,,0.9333333333333333,0,558,,0,1607,79,0.049159925326695705,1093,479,0.43824336688014637
mnist,cut_gaussian,clean,fedavg,42,0.7689,0.7634000000000001,0.7668729243640142,0.0,,0.0,0,0,,0,1480,0,0.0,1220,0,0.0
mnist,cut_gaussian,clean,fedavg,137,0.6502,0.6333,0.6438100102012966,0.0,,0.0,0,0,,0,1523,0,0.0,1177,0,0.0
mnist,cut_gaussian,clean,fedavg,2024,0.7489,0.73788,0.7438458742854477,0.0,,0.0,0,0,,0,1607,0,0.0,1093,0,0.0
mnist,cut_gaussian,attacked,fed_mdbscan_g,42,0.7455,0.73774,0.7418008435950934,0.0,1.0,1.0,0,540,,0,1090,0,0.0,1070,0,0.0
mnist,cut_gaussian,attacked,fed_mdbscan_g,137,0.4521,0.4481,0.44166923287395765,0.2439814814814815,1.0,1.0,1,928,,139,1163,17,0.014617368873602751,997,510,0.5115346038114343
mnist,cut_gaussian,attacked,fed_mdbscan_g,2024,0.6675,0.69366,0.659338132091737,0.01574074074074074,1.0,1.0,0,565,,9,1217,5,0.004108463434675432,943,29,0.030752916224814422
mnist,cut_gaussian,attacked,mdbg_no_snnc_cutoff,42,0.7455,0.73774,0.7418008435950934,0.0,1.0,1.0,2,540,,0,1090,0,0.0,1070,0,0.0
mnist,cut_gaussian,attacked,mdbg_no_snnc_cutoff,137,0.4313,0.42729999999999996,0.421587600098853,0.16203703703703703,1.0,1.0,20,887,,3,1163,16,0.013757523645743766,997,334,0.3350050150451354
mnist,cut_gaussian,attacked,mdbg_no_snnc_cutoff,2024,0.7381,0.7343,0.7310821348302132,0.006944444444444444,1.0,1.0,3,555,,0,1217,4,0.003286770747740345,943,11,0.01166489925768823
mnist,cut_gaussian,attacked,mdbg_l0_only,42,0.7455,0.73774,0.7418008435950934,0.0,1.0,1.0,0,540,,0,1090,0,0.0,1070,0,0.0
mnist,cut_gaussian,attacked,mdbg_l0_only,137,0.4449,0.44338,0.43479134361695504,0.1574074074074074,1.0,1.0,0,880,,0,1163,15,0.012897678417884782,997,325,0.3259779338014042
mnist,cut_gaussian,attacked,mdbg_l0_only,2024,0.7381,0.7343,0.7310821348302132,0.006944444444444444,1.0,1.0,0,555,,0,1217,4,0.003286770747740345,943,11,0.01166489925768823
mnist,cut_gaussian,attacked,fedavg,42,0.4565,0.46299999999999997,0.4536487562533905,0.0,0.0,0.0,0,0,,0,1090,0,0.0,1070,0,0.0
