dataset,scenario,mode,score,mean,min,max
fashion_mnist,cut_backdoor,attacked,exact_duplicate_peers,0.5,0.5,0.5
fashion_mnist,cut_backdoor,attacked,negative_cosine_other_clients_mean,0.4430727023319616,0.32330246913580246,0.7121913580246912
fashion_mnist,cut_backdoor,attacked,oracle_negative_cosine_honest_mean,0.6854423868312758,0.40354938271604934,0.8950617283950617
fashion_mnist,cut_backdoor,attacked,top5_cosine_similarity,0.3191015089163238,0.2222222222222222,0.4220679012345679
fashion_mnist,cut_backdoor,clean,exact_duplicate_peers,0.5,0.5,0.5
fashion_mnist,cut_backdoor,clean,negative_cosine_other_clients_mean,0.5534979423868313,0.4290123456790123,0.7137345679012346
fashion_mnist,cut_backdoor,clean,oracle_negative_cosine_honest_mean,0.5534979423868313,0.4290123456790123,0.7137345679012346
fashion_mnist,cut_backdoor,clean,top5_cosine_similarity,0.5120884773662551,0.37654320987654316,0.5648148148148149
fashion_mnist,cut_minmax,attacked,exact_duplicate_peers,1.0,1.0,1.0
fashion_mnist,cut_minmax,attacked,negative_cosine_other_clients_mean,1.0,1.0,1.0
fashion_mnist,cut_minmax,attacked,oracle_negative_cosine_honest_mean,1.0,1.0,1.0
fashion_mnist,cut_minmax,attacked,top5_cosine_similarity,1.0,1.0,1.0
fashion_mnist,cut_minmax,clean,exact_duplicate_peers,0.5,0.5,0.5
fashion_mnist,cut_minmax,clean,negative_cosine_other_clients_mean,0.5132030178326474,0.36419753086419754,0.6149691358024691
fashion_mnist,cut_minmax,clean,oracle_negative_cosine_honest_mean,0.5132030178326474,0.36419753086419754,0.6149691358024691
fashion_mnist,cut_minmax,clean,top5_cosine_similarity,0.44315843621399176,0.3310185185185185,0.6219135802469136
mnist,cut_backdoor,attacked,exact_duplicate_peers,0.5,0.5,0.5
mnist,cut_backdoor,attacked,negative_cosine_other_clients_mean,0.41272290809327844,0.22222222222222218,0.5810185185185185
mnist,cut_backdoor,attacked,oracle_negative_cosine_honest_mean,0.7791495198902606,0.5162037037037037,0.9243827160493827
mnist,cut_backdoor,attacked,top5_cosine_similarity,0.24657064471879286,0.10339506172839505,0.42515432098765427
mnist,cut_backdoor,clean,exact_duplicate_peers,0.5,0.5,0.5
mnist,cut_backdoor,clean,negative_cosine_other_clients_mean,0.5276063100137174,0.3125,0.6265432098765432
mnist,cut_backdoor,clean,oracle_negative_cosine_honest_mean,0.5276063100137174,0.3125,0.6265432098765432
mnist,cut_backdoor,clean,top5_cosine_similarity,0.46304869684499317,0.3726851851851852,0.5532407407407408
mnist,cut_minmax,attacked,exact_duplicate_peers,1.0,1.0,1.0
mnist,cut_minmax,attacked,negative_cosine_other_clients_mean,0.7777777777777778,0.0,1.0
mnist,cut_minmax,attacked,oracle_negative_cosine_honest_mean,1.0,1.0,1.0
mnist,cut_minmax,attacked,top5_cosine_similarity,1.0,1.0,1.0
mnist,cut_minmax,clean,exact_duplicate_peers,0.5,0.5,0.5
mnist,cut_minmax,clean,negative_cosine_other_clients_mean,0.527434842249657,0.3441358024691358,0.6712962962962963
mnist,cut_minmax,clean,oracle_negative_cosine_honest_mean,0.527434842249657,0.3441358024691358,0.6712962962962963
mnist,cut_minmax,clean,top5_cosine_similarity,0.4540466392318245,0.27546296296296297,0.5362654320987654
