dataset,scenario,mode,seed,round,label_semantics,reference,score,auc,n,positive_n,zero_update_n,positive_median,negative_median,positive_min,positive_max,negative_min,negative_max
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,top5_cosine_similarity,1.0,90,18,0,1.0,0.9586462256349706,1.0,1.0,0.24560093141705677,0.9922835629276563
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,negative_cosine_other_clients_mean,1.0,90,18,0,0.9999999999999939,-0.38955288923125087,0.9999999999999939,0.9999999999999939,-0.8129216290680401,0.08001065207229835
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
fashion_mnist,cut_minmax,attacked,137,0,actual_attacker,0,oracle_negative_cosine_honest_mean,1.0,90,18,0,0.9999999999999953,-0.40996000102673613,0.9999999999999953,0.9999999999999953,-0.8199584658308884,0.06336414037664936
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,top5_cosine_similarity,1.0,90,18,0,0.9999999999999989,0.9341079229885991,0.9999999999999989,0.9999999999999989,0.20992055893829703,0.9903614895225716
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,negative_cosine_other_clients_mean,1.0,90,18,0,0.9999999999999163,0.9565003295003593,0.9999999999999163,0.9999999999999163,0.8466349697570581,0.9787351680526842
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
fashion_mnist,cut_minmax,attacked,137,9,actual_attacker,0,oracle_negative_cosine_honest_mean,1.0,90,18,0,1.0000000000000053,-0.347678233841753,1.0000000000000053,1.0000000000000053,-0.637898141121192,0.11348651606612994
fashion_mnist,cut_minmax,attacked,137,29,actual_attacker,0,top5_cosine_similarity,1.0,90,18,0,0.9999999999999993,0.9324137270439514,0.9999999999999993,0.9999999999999993,0.2293743245047895,0.9891433335604715
fashion_mnist,cut_minmax,attacked,137,29,actual_attacker,0,negative_cosine_other_clients_mean,1.0,90,18,0,0.9999999999999554,0.5351446350921065,0.9999999999999554,0.9999999999999554,0.14925752832787614,0.8324009629125075
fashion_mnist,cut_minmax,attacked,137,29,actual_attacker,0,exact_duplicate_peers,1.0,90,18,0,17.0,0.0,17.0,17.0,0.0,0.0
fashion_mnist,cut_minmax,attacked,137,29,actual_attacker,0,oracle_negative_cosine_honest_mean,1.0,90,18,0,1.000000000000002,-0.2681012701063694,1.000000000000002,1.000000000000002,-0.6620197725141975,0.09825808097460287
fashion_mnist,cut_minmax,attacked,2024,0,actual_attacker,1,top5_cosine_similarity,1.0,90,18,0,1.0000000000000002,0.9732562955136597,1.0000000000000002,1.0000000000000002,0.3264848870462619,0.9873728598150711
