dataset,scenario,mode,seed,score,mean,min,max
fashion_mnist,cut_backdoor,attacked,42,exact_duplicate_peers,0.5,0.5,0.5
fashion_mnist,cut_backdoor,attacked,42,negative_cosine_other_clients_mean,0.3706275720164609,0.33719135802469136,0.43441358024691357
fashion_mnist,cut_backdoor,attacked,42,oracle_negative_cosine_honest_mean,0.6352880658436214,0.40354938271604934,0.8348765432098766
fashion_mnist,cut_backdoor,attacked,42,top5_cosine_similarity,0.30504115226337447,0.2222222222222222,0.3842592592592593
fashion_mnist,cut_backdoor,attacked,137,exact_duplicate_peers,0.5,0.5,0.5
fashion_mnist,cut_backdoor,attacked,137,negative_cosine_other_clients_mean,0.4251543209876543,0.32330246913580246,0.5162037037037037
fashion_mnist,cut_backdoor,attacked,137,oracle_negative_cosine_honest_mean,0.647119341563786,0.4498456790123457,0.7561728395061729
fashion_mnist,cut_backdoor,attacked,137,top5_cosine_similarity,0.2911522633744856,0.2646604938271605,0.30632716049382713
fashion_mnist,cut_backdoor,attacked,2024,exact_duplicate_peers,0.5,0.5,0.5
fashion_mnist,cut_backdoor,attacked,2024,negative_cosine_other_clients_mean,0.5334362139917695,0.34259259259259256,0.7121913580246912
fashion_mnist,cut_backdoor,attacked,2024,oracle_negative_cosine_honest_mean,0.7739197530864197,0.6319444444444444,0.8950617283950617
fashion_mnist,cut_backdoor,attacked,2024,top5_cosine_similarity,0.3611111111111111,0.283179012345679,0.4220679012345679
fashion_mnist,cut_backdoor,clean,42,exact_duplicate_peers,0.5,0.5,0.5
fashion_mnist,cut_backdoor,clean,42,negative_cosine_other_clients_mean,0.4742798353909465,0.4290123456790123,0.533179012345679
fashion_mnist,cut_backdoor,clean,42,oracle_negative_cosine_honest_mean,0.4742798353909465,0.4290123456790123,0.533179012345679
fashion_mnist,cut_backdoor,clean,42,top5_cosine_similarity,0.5316358024691358,0.49768518518518523,0.5640432098765432
fashion_mnist,cut_backdoor,clean,137,exact_duplicate_peers,0.5,0.5,0.5
fashion_mnist,cut_backdoor,clean,137,negative_cosine_other_clients_mean,0.5288065843621399,0.5007716049382716,0.5524691358024691
fashion_mnist,cut_backdoor,clean,137,oracle_negative_cosine_honest_mean,0.5288065843621399,0.5007716049382716,0.5524691358024691
fashion_mnist,cut_backdoor,clean,137,top5_cosine_similarity,0.478395061728395,0.37654320987654316,0.5648148148148149
fashion_mnist,cut_backdoor,clean,2024,exact_duplicate_peers,0.5,0.5,0.5
fashion_mnist,cut_backdoor,clean,2024,negative_cosine_other_clients_mean,0.6574074074074073,0.6126543209876543,0.7137345679012346
fashion_mnist,cut_backdoor,clean,2024,oracle_negative_cosine_honest_mean,0.6574074074074073,0.6126543209876543,0.7137345679012346
fashion_mnist,cut_backdoor,clean,2024,top5_cosine_similarity,0.5262345679012346,0.5007716049382716,0.5393518518518519
fashion_mnist,cut_minmax,attacked,42,exact_duplicate_peers,1.0,1.0,1.0
fashion_mnist,cut_minmax,attacked,42,negative_cosine_other_clients_mean,1.0,1.0,1.0
fashion_mnist,cut_minmax,attacked,42,oracle_negative_cosine_honest_mean,1.0,1.0,1.0
fashion_mnist,cut_minmax,attacked,42,top5_cosine_similarity,1.0,1.0,1.0
fashion_mnist,cut_minmax,attacked,137,exact_duplicate_peers,1.0,1.0,1.0
fashion_mnist,cut_minmax,attacked,137,negative_cosine_other_clients_mean,1.0,1.0,1.0
fashion_mnist,cut_minmax,attacked,137,oracle_negative_cosine_honest_mean,1.0,1.0,1.0
fashion_mnist,cut_minmax,attacked,137,top5_cosine_similarity,1.0,1.0,1.0
fashion_mnist,cut_minmax,attacked,2024,exact_duplicate_peers,1.0,1.0,1.0
fashion_mnist,cut_minmax,attacked,2024,negative_cosine_other_clients_mean,1.0,1.0,1.0
fashion_mnist,cut_minmax,attacked,2024,oracle_negative_cosine_honest_mean,1.0,1.0,1.0
fashion_mnist,cut_minmax,attacked,2024,top5_cosine_similarity,1.0,1.0,1.0
fashion_mnist,cut_minmax,clean,42,exact_duplicate_peers,0.5,0.5,0.5
fashion_mnist,cut_minmax,clean,42,negative_cosine_other_clients_mean,0.5426954732510287,0.40509259259259256,0.6149691358024691
fashion_mnist,cut_minmax,clean,42,oracle_negative_cosine_honest_mean,0.5426954732510287,0.40509259259259256,0.6149691358024691
fashion_mnist,cut_minmax,clean,42,top5_cosine_similarity,0.5534979423868313,0.4969135802469136,0.6219135802469136
fashion_mnist,cut_minmax,clean,137,exact_duplicate_peers,0.5,0.5,0.5
fashion_mnist,cut_minmax,clean,137,negative_cosine_other_clients_mean,0.48096707818930035,0.36419753086419754,0.6087962962962963
fashion_mnist,cut_minmax,clean,137,oracle_negative_cosine_honest_mean,0.48096707818930035,0.36419753086419754,0.6087962962962963
fashion_mnist,cut_minmax,clean,137,top5_cosine_similarity,0.37139917695473246,0.3310185185185185,0.39814814814814814
fashion_mnist,cut_minmax,clean,2024,exact_duplicate_peers,0.5,0.5,0.5
fashion_mnist,cut_minmax,clean,2024,negative_cosine_other_clients_mean,0.5159465020576132,0.4853395061728395,0.5655864197530864
fashion_mnist,cut_minmax,clean,2024,oracle_negative_cosine_honest_mean,0.5159465020576132,0.4853395061728395,0.5655864197530864
fashion_mnist,cut_minmax,clean,2024,top5_cosine_similarity,0.4045781893004115,0.371141975308642,0.45370370370370366
mnist,cut_backdoor,attacked,42,exact_duplicate_peers,0.5,0.5,0.5
mnist,cut_backdoor,attacked,42,negative_cosine_other_clients_mean,0.43158436213991774,0.22916666666666666,0.5810185185185185
mnist,cut_backdoor,attacked,42,oracle_negative_cosine_honest_mean,0.7893518518518517,0.6219135802469136,0.9243827160493827
mnist,cut_backdoor,attacked,42,top5_cosine_similarity,0.24176954732510283,0.2229938271604938,0.2669753086419753
mnist,cut_backdoor,attacked,137,exact_duplicate_peers,0.5,0.5,0.5
mnist,cut_backdoor,attacked,137,negative_cosine_other_clients_mean,0.3726851851851851,0.22222222222222218,0.5200617283950617
mnist,cut_backdoor,attacked,137,oracle_negative_cosine_honest_mean,0.7772633744855967,0.529320987654321,0.9066358024691358
mnist,cut_backdoor,attacked,137,top5_cosine_similarity,0.1954732510288066,0.10339506172839505,0.2955246913580247
mnist,cut_backdoor,attacked,2024,exact_duplicate_peers,0.5,0.5,0.5
mnist,cut_backdoor,attacked,2024,negative_cosine_other_clients_mean,0.4338991769547325,0.3410493827160494,0.5679012345679012
mnist,cut_backdoor,attacked,2024,oracle_negative_cosine_honest_mean,0.7708333333333334,0.5162037037037037,0.9212962962962963
mnist,cut_backdoor,attacked,2024,top5_cosine_similarity,0.3024691358024691,0.22839506172839505,0.42515432098765427
mnist,cut_backdoor,clean,42,exact_duplicate_peers,0.5,0.5,0.5
mnist,cut_backdoor,clean,42,negative_cosine_other_clients_mean,0.621141975308642,0.6165123456790124,0.6265432098765432
mnist,cut_backdoor,clean,42,oracle_negative_cosine_honest_mean,0.621141975308642,0.6165123456790124,0.6265432098765432
mnist,cut_backdoor,clean,42,top5_cosine_similarity,0.4110082304526749,0.3726851851851852,0.4637345679012346
mnist,cut_backdoor,clean,137,exact_duplicate_peers,0.5,0.5,0.5
mnist,cut_backdoor,clean,137,negative_cosine_other_clients_mean,0.4372427983539094,0.3125,0.5200617283950617
mnist,cut_backdoor,clean,137,oracle_negative_cosine_honest_mean,0.4372427983539094,0.3125,0.5200617283950617
mnist,cut_backdoor,clean,137,top5_cosine_similarity,0.4331275720164609,0.3904320987654321,0.4583333333333333
mnist,cut_backdoor,clean,2024,exact_duplicate_peers,0.5,0.5,0.5
mnist,cut_backdoor,clean,2024,negative_cosine_other_clients_mean,0.5244341563786009,0.4436728395061728,0.5964506172839507
mnist,cut_backdoor,clean,2024,oracle_negative_cosine_honest_mean,0.5244341563786009,0.4436728395061728,0.5964506172839507
mnist,cut_backdoor,clean,2024,top5_cosine_similarity,0.5450102880658436,0.540895061728395,0.5532407407407408
mnist,cut_minmax,attacked,42,exact_duplicate_peers,1.0,1.0,1.0
mnist,cut_minmax,attacked,42,negative_cosine_other_clients_mean,0.6666666666666666,0.0,1.0
mnist,cut_minmax,attacked,42,oracle_negative_cosine_honest_mean,1.0,1.0,1.0
mnist,cut_minmax,attacked,42,top5_cosine_similarity,1.0,1.0,1.0
mnist,cut_minmax,attacked,137,exact_duplicate_peers,1.0,1.0,1.0
mnist,cut_minmax,attacked,137,negative_cosine_other_clients_mean,1.0,1.0,1.0
mnist,cut_minmax,attacked,137,oracle_negative_cosine_honest_mean,1.0,1.0,1.0
mnist,cut_minmax,attacked,137,top5_cosine_similarity,1.0,1.0,1.0
mnist,cut_minmax,attacked,2024,exact_duplicate_peers,1.0,1.0,1.0
mnist,cut_minmax,attacked,2024,negative_cosine_other_clients_mean,0.6666666666666666,0.0,1.0
mnist,cut_minmax,attacked,2024,oracle_negative_cosine_honest_mean,1.0,1.0,1.0
mnist,cut_minmax,attacked,2024,top5_cosine_similarity,1.0,1.0,1.0
mnist,cut_minmax,clean,42,exact_duplicate_peers,0.5,0.5,0.5
mnist,cut_minmax,clean,42,negative_cosine_other_clients_mean,0.573559670781893,0.42052469135802467,0.6712962962962963
mnist,cut_minmax,clean,42,oracle_negative_cosine_honest_mean,0.573559670781893,0.42052469135802467,0.6712962962962963
mnist,cut_minmax,clean,42,top5_cosine_similarity,0.4758230452674897,0.4359567901234568,0.5146604938271605
mnist,cut_minmax,clean,137,exact_duplicate_peers,0.5,0.5,0.5
mnist,cut_minmax,clean,137,negative_cosine_other_clients_mean,0.4773662551440329,0.4506172839506173,0.5246913580246914
mnist,cut_minmax,clean,137,oracle_negative_cosine_honest_mean,0.4773662551440329,0.4506172839506173,0.5246913580246914
mnist,cut_minmax,clean,137,top5_cosine_similarity,0.5133744855967078,0.4837962962962963,0.5362654320987654
mnist,cut_minmax,clean,2024,exact_duplicate_peers,0.5,0.5,0.5
mnist,cut_minmax,clean,2024,negative_cosine_other_clients_mean,0.5313786008230452,0.3441358024691358,0.6597222222222222
mnist,cut_minmax,clean,2024,oracle_negative_cosine_honest_mean,0.5313786008230452,0.3441358024691358,0.6597222222222222
mnist,cut_minmax,clean,2024,top5_cosine_similarity,0.37294238683127573,0.27546296296296297,0.5061728395061729
