dataset,seed,round,arm,total,l0_rejected,additional_rejected,final_rejected,accuracy,layer,fallback,l0_guard,l0_threshold,l2_logged_count,attack_gate,attack_alert,gap,natural_clusters,rejected_clusters
har,42,0,A,90,0,0,0,0.1825585341024771,L0_only,0,False,0.6681015342473984,0,0,0,19.01578767974939,0,0
har,42,0,B,90,0,0,0,0.1825585341024771,L0_only,0,False,0.6712184846401215,0,0,0,11.198149898629921,0,0
har,42,0,C,90,0,0,0,0.1825585341024771,L0_only,0,False,0.667540431022644,0,0,0,19.14628259861642,0,0
har,42,9,A,90,0,0,0,0.41126569392602647,L0_only,0,False,1.2159083783626556,0,0,0,7.800042513647656,0,0
har,42,9,B,90,0,0,0,0.41126569392602647,L0_only,0,False,1.2075775116682053,0,0,0,9.777398884261826,0,0
har,42,9,C,90,0,0,0,0.4116050220563285,L0_only,0,False,1.2040986120700836,0,0,0,10.126804576818445,0,0
har,42,19,A,90,0,0,0,0.44248388191381066,L0_only,0,False,1.1970753967761993,0,0,0,30.844384043733523,0,0
har,42,19,B,90,0,0,0,0.44350186630471666,L0_only,0,False,1.1941669881343842,0,0,0,24.160029768551603,0,0
har,42,19,C,90,0,0,0,0.4428232100441127,L0_only,0,False,1.1917759478092194,0,0,0,20.058323784772867,0,0
har,42,29,A,90,10,0,10,0.4129623345775365,L0+L2_SNNC,0,False,0.966276228427887,10,1,1,22.485739862877182,1,0
har,42,29,B,90,9,0,9,0.4149983033593485,L0+L2_SNNC,0,False,0.9680459648370743,9,1,1,21.429602095198607,2,0
har,42,29,C,90,10,0,10,0.41228367831693247,L0+L2_SNNC,0,False,0.9618468582630157,10,1,1,34.85617645922003,2,0
har,137,0,A,90,0,0,0,0.18052256532066507,L0_only,0,False,0.7975773513317108,0,0,0,38.227730456924945,0,0
har,137,0,B,90,0,0,0,0.18052256532066507,L0_only,0,False,0.7944756746292114,0,0,0,36.2597629625784,0,0
har,137,0,C,90,0,0,0,0.18052256532066507,L0_only,0,False,0.8023921400308609,0,0,0,81.27863213890153,0,0
har,137,9,A,90,0,0,0,0.20257889379029523,L0_only,0,False,1.4017924666404724,0,0,0,42.53242090712444,0,0
har,137,9,B,90,0,0,0,0.20190023752969122,L0_only,0,False,1.410616934299469,0,0,0,56.389384649963525,0,0
har,137,9,C,90,0,0,0,0.20190023752969122,L0_only,0,False,1.4094454050064087,0,0,0,82.1179560964433,0,0
har,137,19,A,90,0,0,0,0.33220223956566,L0_only,0,False,1.3283328711986542,0,0,0,98.29592680495995,0,0
har,137,19,B,90,0,0,0,0.332541567695962,L0_only,0,False,1.3539507985115051,0,0,0,119.69249612601413,0,0
har,137,19,C,90,0,0,0,0.33220223956566,L0_only,0,False,1.3572514057159424,0,0,0,161.4770308032268,0,0
har,137,29,A,90,0,0,0,0.34543603664743805,L0_only,0,False,1.3348868489265442,0,0,0,61.208102411594005,0,0
har,137,29,B,90,0,0,0,0.3450967085171361,L0_only,0,False,1.3423509895801544,0,0,0,75.14804876565448,0,0
har,137,29,C,90,0,0,0,0.3430607397353241,L0_only,0,False,1.3401779532432556,0,0,0,92.13999426256393,0,0
har,2024,0,A,90,0,0,0,0.36138445877163217,L0_only,0,False,0.7444582134485245,0,0,0,18.90899723855947,0,0
har,2024,0,B,90,0,0,0,0.36443841194435017,L0_only,0,False,0.730421394109726,0,0,0,27.581366605215365,0,0
har,2024,0,C,90,0,0,0,0.36952833389888023,L0_only,0,False,0.7290019094944,0,0,0,30.784157051668746,0,0
har,2024,9,A,90,0,0,0,0.34781133355955207,L0_only,0,False,1.4532065391540527,0,0,0,6.9315662018795825,0,0
