dataset,seed,round,arm,client,group,samples,stage,norm,l0_distance,l0_threshold,margin,distance_threshold_ratio,unique_examples
har,42,0,A,0,floor,20,accepted,0.29158487915992737,0.07358938455581665,0.6681015342473984,-0.5945121496915817,0.11014700727893623,20
har,42,0,A,1,floor,20,accepted,0.37622371315956116,0.134665846824646,0.6681015342473984,-0.5334356874227524,0.20156494173650433,20
har,42,0,A,2,above,28,accepted,0.2675088346004486,0.3983120024204254,0.6681015342473984,-0.26978953182697296,0.5961848341945736,28
har,42,0,A,3,floor,20,accepted,0.3774837553501129,0.13864865899085999,0.6681015342473984,-0.5294528752565384,0.20752632928323483,20
har,42,0,A,4,floor,20,accepted,0.39292603731155396,0.15323904156684875,0.6681015342473984,-0.5148624926805496,0.2293648999616041,20
har,42,0,A,5,floor,20,accepted,0.3821173906326294,0.141688734292984,0.6681015342473984,-0.5264127999544144,0.21207664857796388,20
har,42,0,A,6,floor,20,accepted,0.3579249680042267,0.1254042237997055,0.6681015342473984,-0.5426973104476929,0.1877023436878806,20
har,42,0,A,7,floor,20,accepted,0.3831910192966461,0.14189548790454865,0.6681015342473984,-0.5262060463428497,0.21238611293475143,20
har,42,0,A,8,floor,20,accepted,0.3404827117919922,0.10185961425304413,0.6681015342473984,-0.5662419199943542,0.15246127876025123,20
har,42,0,A,9,floor,20,accepted,0.38494086265563965,0.14694258570671082,0.6681015342473984,-0.5211589485406876,0.2199405003196683,20
har,42,0,A,10,floor,20,accepted,0.24819602072238922,0.1281578242778778,0.6681015342473984,-0.5399437099695206,0.19182387363059233,20
har,42,0,A,11,floor,20,accepted,0.3715112805366516,0.1361016184091568,0.6681015342473984,-0.5319999158382416,0.20371397374872408,20
har,42,0,A,12,above,492,accepted,0.2800277769565582,0.38093769550323486,0.6681015342473984,-0.2871638387441635,0.5701793454678303,160
har,42,0,A,13,floor,20,accepted,0.3836144506931305,0.1423366218805313,0.6681015342473984,-0.5257649123668671,0.21304639277751453,20
har,42,0,A,14,above,61,accepted,0.2714681327342987,0.16428184509277344,0.6681015342473984,-0.5038196891546249,0.24589353065598527,61
har,42,0,A,15,floor,20,accepted,0.31306397914886475,0.10007239133119583,0.6681015342473984,-0.5680291429162025,0.1497862019489675,20
har,42,0,A,16,floor,20,accepted,0.3832435607910156,0.14265155792236328,0.6681015342473984,-0.5254499763250351,0.21351778226801577,20
har,42,0,A,17,floor,20,accepted,0.27343326807022095,0.4021608233451843,0.6681015342473984,-0.26594071090221405,0.6019456665343683,20
har,42,0,A,18,floor,20,accepted,0.373807430267334,0.13360518217086792,0.6681015342473984,-0.5344963520765305,0.19997736170651248,20
har,42,0,A,19,floor,20,accepted,0.3633173108100891,0.12766803801059723,0.6681015342473984,-0.5404334962368011,0.19109077208513292,20
har,42,0,A,20,floor,20,accepted,0.3849843144416809,0.14420661330223083,0.6681015342473984,-0.5238949209451675,0.2158453556983317,20
har,42,0,A,21,floor,20,accepted,0.38408732414245605,0.14122118055820465,0.6681015342473984,-0.5268803536891937,0.21137682420874424,20
har,42,0,A,23,floor,20,accepted,0.3738252520561218,0.13316218554973602,0.6681015342473984,-0.5349393486976624,0.1993142938965711,20
har,42,0,A,24,floor,20,accepted,0.3740093410015106,0.13538241386413574,0.6681015342473984,-0.5327191203832626,0.20263748386185199,20
har,42,0,A,25,floor,20,accepted,0.3743875324726105,0.13295359909534454,0.6681015342473984,-0.5351479351520538,0.19900208618008014,20
har,42,0,A,26,floor,20,accepted,0.2893083393573761,0.0778285339474678,0.6681015342473984,-0.5902730002999306,0.11649207486873972,20
har,42,0,A,27,floor,20,accepted,0.38284948468208313,0.14142338931560516,0.6681015342473984,-0.5266781449317932,0.2116794859256168,20
har,42,0,A,28,floor,20,accepted,0.38381442427635193,0.14168496429920197,0.6681015342473984,-0.5264165699481964,0.21207100573239507,20
har,42,0,A,29,floor,20,accepted,0.2903740108013153,0.3800961375236511,0.6681015342473984,-0.28800539672374725,0.5689197195929523,20
har,42,0,A,30,floor,20,accepted,0.38159745931625366,0.13975968956947327,0.6681015342473984,-0.5283418446779251,0.20918929594572697,20
har,42,0,A,35,floor,20,accepted,0.2627442181110382,0.36680153012275696,0.6681015342473984,-0.3013000041246414,0.5490206373136843,20
har,42,0,A,36,floor,20,accepted,0.3618265390396118,0.1276930272579193,0.6681015342473984,-0.5404085069894791,0.19112817545279653,20
har,42,0,A,39,floor,20,accepted,0.38613826036453247,0.14807166159152985,0.6681015342473984,-0.5200298726558685,0.2216304768081835,20
har,42,0,A,40,floor,20,accepted,0.2559414803981781,0.36413130164146423,0.6681015342473984,-0.30397023260593414,0.5450238967818718,20
har,42,0,A,41,above,478,accepted,0.25946512818336487,0.36514565348625183,0.6681015342473984,-0.30295588076114655,0.5465421567959432,160
har,42,0,A,42,floor,20,accepted,0.3690737783908844,0.12999795377254486,0.6681015342473984,-0.5381035804748535,0.19457813986160755,20
har,42,0,A,43,floor,20,accepted,0.2666303813457489,0.3710666000843048,0.6681015342473984,-0.29703493416309357,0.5554045022547406,20
har,42,0,A,44,floor,20,accepted,0.3836589455604553,0.1414656937122345,0.6681015342473984,-0.5266358405351639,0.2117428062361696,20
har,42,0,A,45,floor,20,accepted,0.23406891524791718,0.35208404064178467,0.6681015342473984,-0.3160174936056137,0.5269918157550701,20
har,42,0,A,46,floor,20,accepted,0.27703532576560974,0.3792669475078583,0.6681015342473984,-0.2888345867395401,0.567678605820138,20
har,42,0,A,48,floor,20,accepted,0.37951910495758057,0.1391313523054123,0.6681015342473984,-0.5289701819419861,0.20824881424967942,20
har,42,0,A,49,floor,20,accepted,0.27145200967788696,0.37534913420677185,0.6681015342473984,-0.2927524000406265,0.5618145071760602,20
har,42,0,A,50,floor,20,accepted,0.2578645348548889,0.3693610727787018,0.6681015342473984,-0.2987404614686966,0.5528517056838956,20
har,42,0,A,51,floor,20,accepted,0.3844894468784332,0.14575757086277008,0.6681015342473984,-0.5223439633846283,0.21816679560085545,20
har,42,0,A,52,floor,20,accepted,0.27156776189804077,0.37114474177360535,0.6681015342473984,-0.29695679247379303,0.5555214630538032,20
har,42,0,A,53,floor,20,accepted,0.2719075381755829,0.3748364746570587,0.6681015342473984,-0.29326505959033966,0.5610471693936517,20
har,42,0,A,54,floor,20,accepted,0.3659573197364807,0.12358183413743973,0.6681015342473984,-0.5445197001099586,0.1849746300562712,20
har,42,0,A,55,above,247,accepted,0.4034605622291565,0.489633709192276,0.6681015342473984,-0.17846782505512238,0.7328731997956531,160
har,42,0,A,56,floor,20,accepted,0.2690136730670929,0.37066495418548584,0.6681015342473984,-0.29743658006191254,0.5548033273161567,20
har,42,0,A,57,floor,20,accepted,0.2816099524497986,0.38256973028182983,0.6681015342473984,-0.28553180396556854,0.5726221400056897,20
har,42,0,A,58,floor,20,accepted,0.37134063243865967,0.13174141943454742,0.6681015342473984,-0.536360114812851,0.19718772174793944,20
har,42,0,A,59,above,98,accepted,0.2789337933063507,0.4092467427253723,0.6681015342473984,-0.25885479152202606,0.6125517181851404,98
har,42,0,A,60,above,58,accepted,0.27233365178108215,0.37388870120048523,0.6681015342473984,-0.29421283304691315,0.5596285624784002,58
har,42,0,A,61,above,244,accepted,0.4275036156177521,0.5214366912841797,0.6681015342473984,-0.1466648429632187,0.7804752190422173,160
har,42,0,A,62,floor,20,accepted,0.26664987206459045,0.36961132287979126,0.6681015342473984,-0.2984902113676071,0.55322627465023,20
har,42,0,A,63,floor,20,accepted,0.28318125009536743,0.38233640789985657,0.6681015342473984,-0.2857651263475418,0.5722729080850714,20
har,42,0,A,65,floor,20,accepted,0.26121005415916443,0.35517290234565735,0.6681015342473984,-0.31292863190174103,0.5316151574861324,20
har,42,0,A,66,floor,20,accepted,0.2805112898349762,0.38171833753585815,0.6681015342473984,-0.2863831967115402,0.5713477936641104,20
