dataset,seed,round,contrast,delta_l0_rejected,delta_additional_rejected,newly_accepted,newly_rejected
har,42,0,B-A,0,0,0,0
har,42,0,C-A,0,0,0,0
har,42,0,C-B,0,0,0,0
har,42,9,B-A,0,0,0,0
har,42,9,C-A,0,0,0,0
har,42,9,C-B,0,0,0,0
har,42,19,B-A,0,0,0,0
har,42,19,C-A,0,0,0,0
har,42,19,C-B,0,0,0,0
har,42,29,B-A,-1,0,1,0
har,42,29,C-A,0,0,0,0
har,42,29,C-B,1,0,0,1
har,137,0,B-A,0,0,0,0
har,137,0,C-A,0,0,0,0
har,137,0,C-B,0,0,0,0
har,137,9,B-A,0,0,0,0
har,137,9,C-A,0,0,0,0
har,137,9,C-B,0,0,0,0
har,137,19,B-A,0,0,0,0
har,137,19,C-A,0,0,0,0
har,137,19,C-B,0,0,0,0
har,137,29,B-A,0,0,0,0
har,137,29,C-A,0,0,0,0
har,137,29,C-B,0,0,0,0
har,2024,0,B-A,0,0,0,0
har,2024,0,C-A,0,0,0,0
har,2024,0,C-B,0,0,0,0
har,2024,9,B-A,0,0,0,0
har,2024,9,C-A,0,0,0,0
har,2024,9,C-B,0,0,0,0
har,2024,19,B-A,0,0,0,0
har,2024,19,C-A,0,0,0,0
har,2024,19,C-B,0,0,0,0
har,2024,29,B-A,0,0,0,0
har,2024,29,C-A,0,0,0,0
har,2024,29,C-B,0,0,0,0
mnist,42,0,B-A,0,0,0,0
mnist,42,0,C-A,0,0,0,0
mnist,42,0,C-B,0,0,0,0
mnist,42,9,B-A,0,0,0,0
mnist,42,9,C-A,1,0,0,1
mnist,42,9,C-B,1,0,0,1
mnist,42,19,B-A,0,0,0,0
mnist,42,19,C-A,0,0,0,0
mnist,42,19,C-B,0,0,0,0
mnist,42,29,B-A,0,2,0,2
mnist,42,29,C-A,0,0,0,0
mnist,42,29,C-B,0,-2,2,0
mnist,137,0,B-A,-7,0,7,0
mnist,137,0,C-A,-16,0,16,0
mnist,137,0,C-B,-9,0,9,0
mnist,137,9,B-A,0,0,0,0
mnist,137,9,C-A,0,0,0,0
mnist,137,9,C-B,0,0,0,0
mnist,137,19,B-A,0,0,0,0
mnist,137,19,C-A,0,0,0,0
mnist,137,19,C-B,0,0,0,0
mnist,137,29,B-A,0,0,0,0
mnist,137,29,C-A,0,0,0,0
mnist,137,29,C-B,0,0,0,0
mnist,2024,0,B-A,0,0,0,0
mnist,2024,0,C-A,0,0,0,0
mnist,2024,0,C-B,0,0,0,0
mnist,2024,9,B-A,-5,-4,9,0
mnist,2024,9,C-A,-6,-10,16,0
mnist,2024,9,C-B,-1,-6,7,0
mnist,2024,19,B-A,-1,0,1,0
mnist,2024,19,C-A,-2,0,2,0
mnist,2024,19,C-B,-1,0,1,0
mnist,2024,29,B-A,0,0,0,0
mnist,2024,29,C-A,0,0,0,0
mnist,2024,29,C-B,0,0,0,0
fashion_mnist,42,0,B-A,0,0,0,0
fashion_mnist,42,0,C-A,0,0,0,0
fashion_mnist,42,0,C-B,0,0,0,0
fashion_mnist,42,9,B-A,0,0,0,0
fashion_mnist,42,9,C-A,0,0,0,0
fashion_mnist,42,9,C-B,0,0,0,0
fashion_mnist,42,19,B-A,0,0,0,0
fashion_mnist,42,19,C-A,0,0,0,0
fashion_mnist,42,19,C-B,0,0,0,0
fashion_mnist,42,29,B-A,0,0,0,0
fashion_mnist,42,29,C-A,0,0,0,0
fashion_mnist,42,29,C-B,0,0,0,0
fashion_mnist,137,0,B-A,0,0,0,0
fashion_mnist,137,0,C-A,0,0,0,0
fashion_mnist,137,0,C-B,0,0,0,0
fashion_mnist,137,9,B-A,0,0,0,0
fashion_mnist,137,9,C-A,0,0,0,0
fashion_mnist,137,9,C-B,0,0,0,0
fashion_mnist,137,19,B-A,0,0,0,0
fashion_mnist,137,19,C-A,0,0,0,0
fashion_mnist,137,19,C-B,0,0,0,0
fashion_mnist,137,29,B-A,0,0,0,0
fashion_mnist,137,29,C-A,0,0,0,0
fashion_mnist,137,29,C-B,0,0,0,0
fashion_mnist,2024,0,B-A,0,0,0,0
fashion_mnist,2024,0,C-A,0,0,0,0
fashion_mnist,2024,0,C-B,0,0,0,0
fashion_mnist,2024,9,B-A,0,0,0,0
fashion_mnist,2024,9,C-A,0,3,0,3
fashion_mnist,2024,9,C-B,0,3,0,3
fashion_mnist,2024,19,B-A,0,3,0,3
fashion_mnist,2024,19,C-A,3,0,0,3
fashion_mnist,2024,19,C-B,3,-3,3,3
fashion_mnist,2024,29,B-A,0,-2,3,1
fashion_mnist,2024,29,C-A,1,-2,2,1
fashion_mnist,2024,29,C-B,1,0,0,1
