dataset,seed,round,client,group,samples,before,after,A_norm,C_norm,A_distance,C_distance,A_threshold,C_threshold,A_ratio,C_ratio
mnist,137,0,1,above,562,L0_rejected,accepted,0.7036301493644714,0.6829525828361511,0.8524194359779358,0.8354514241218567,0.8394148200750351,0.8916930854320526,1.0154924783216697,0.9369271084086683
mnist,137,0,16,above,303,L0_rejected,accepted,0.6880742311477661,0.6954300403594971,0.8653718829154968,0.8679208755493164,0.8394148200750351,0.8916930854320526,1.0309228074364252,0.9733403675871078
mnist,137,0,30,above,573,L0_rejected,accepted,0.6895857453346252,0.7079890370368958,0.847833514213562,0.8599262237548828,0.8394148200750351,0.8916930854320526,1.0100292417255325,0.9643746685982456
mnist,137,0,34,above,33,L0_rejected,accepted,0.8271681070327759,0.7688710689544678,0.9383042454719543,0.8863542675971985,0.8394148200750351,0.8916930854320526,1.117807576220872,0.9940127181402698
mnist,137,0,36,above,91,L0_rejected,accepted,0.7304934859275818,0.7224569320678711,0.8852967023849487,0.8784306645393372,0.8394148200750351,0.8916930854320526,1.05465936651656,0.9851266976167148
mnist,137,0,55,above,1013,L0_rejected,accepted,0.7615126371383667,0.7668033242225647,0.8834389448165894,0.8878929615020752,0.8394148200750351,0.8916930854320526,1.052446208583283,0.9957383050378414
mnist,137,0,70,above,25,L0_rejected,accepted,0.7648184299468994,0.7482393383979797,0.8791559338569641,0.8624640107154846,0.8394148200750351,0.8916930854320526,1.0473438314781915,0.9672207004920246
mnist,137,0,73,above,169,L0_rejected,accepted,0.7596985101699829,0.7546638250350952,0.8814482688903809,0.8748010396957397,0.8394148200750351,0.8916930854320526,1.0500747041987994,0.9810562109179884
mnist,137,0,83,above,51,L0_rejected,accepted,0.7129895091056824,0.7318800687789917,0.8490495085716248,0.8626195788383484,0.8394148200750351,0.8916930854320526,1.0114778632282528,0.9673951642457592
mnist,137,0,84,above,171,L0_rejected,accepted,0.7125145196914673,0.7211090922355652,0.8500460386276245,0.8563982248306274,0.8394148200750351,0.8916930854320526,1.012665035568039,0.9604181515164226
mnist,137,0,85,above,2323,L0_rejected,accepted,0.6905388236045837,0.6913166642189026,0.8683509826660156,0.8640833497047424,0.8394148200750351,0.8916930854320526,1.0344718271573927,0.9690367277952678
mnist,137,0,88,above,2129,L0_rejected,accepted,0.690169632434845,0.7031681537628174,0.8484305143356323,0.8581379652023315,0.8394148200750351,0.8916930854320526,1.010740451615795,0.9623692044068475
mnist,137,0,92,above,3674,L0_rejected,accepted,0.7534443140029907,0.7386371493339539,0.8860374689102173,0.8750160336494446,0.8394148200750351,0.8916930854320526,1.0555418462006838,0.9812973184887629
mnist,137,0,97,above,4171,L0_rejected,accepted,0.7082989811897278,0.7413037419319153,0.8473772406578064,0.8694219589233398,0.8394148200750351,0.8916930854320526,1.0094856802528929,0.9750237756997726
mnist,137,0,98,above,48,L0_rejected,accepted,0.7003446221351624,0.7305246591567993,0.8608402013778687,0.88618403673172,0.8394148200750351,0.8916930854320526,1.0255241875535606,0.9938218106764131
mnist,137,0,99,above,277,L0_rejected,accepted,0.6940297484397888,0.6427360773086548,0.8737096190452576,0.8307157754898071,0.8394148200750351,0.8916930854320526,1.0408556033918448,0.9316162579496732
mnist,2024,9,13,floor,20,additional_rejected,accepted,0.545144259929657,0.545144259929657,0.5466189980506897,0.547057569026947,0.7709362357854843,0.8387669920921326,0.7090326964509012,0.6522163773546023
mnist,2024,9,16,above,208,L0_rejected,accepted,0.7652440071105957,0.7754541635513306,0.7763752937316895,0.7871423363685608,0.7709362357854843,0.8387669920921326,1.0070551333479136,0.9384517318751365
mnist,2024,9,19,above,959,additional_rejected,accepted,0.6600872874259949,0.6580725908279419,0.663033127784729,0.6600020527839661,0.7709362357854843,0.8387669920921326,0.8600362740884582,0.7868717522344627
mnist,2024,9,23,above,1514,L0_rejected,accepted,0.7680198550224304,0.7090856432914734,0.7788651585578918,0.7194724082946777,0.7709362357854843,0.8387669920921326,1.0102847971133813,0.8577738693556611
mnist,2024,9,36,above,2410,additional_rejected,accepted,0.6505106091499329,0.6747800707817078,0.6527118682861328,0.6777084469795227,0.7709362357854843,0.8387669920921326,0.8466483192622329,0.8079817796467141
mnist,2024,9,43,above,37,L0_rejected,accepted,0.7738001346588135,0.7623772621154785,0.7846038341522217,0.7740756273269653,0.7709362357854843,0.8387669920921326,1.017728571744733,0.9228732587535331
mnist,2024,9,44,above,916,additional_rejected,accepted,0.6584042906761169,0.6592798829078674,0.6617753505706787,0.6617273688316345,0.7709362357854843,0.8387669920921326,0.8584047809043704,0.788928719263369
mnist,2024,9,46,above,156,additional_rejected,accepted,0.5884922742843628,0.6153133511543274,0.5930683016777039,0.618557870388031,0.7709362357854843,0.8387669920921326,0.7692832093609453,0.7374609113374443
mnist,2024,9,57,above,533,L0_rejected,accepted,0.7821890115737915,0.7549346685409546,0.7926421165466309,0.7664467692375183,0.7709362357854843,0.8387669920921326,1.028155221863493,0.9137779341146625
mnist,2024,9,66,above,113,additional_rejected,accepted,0.6594898104667664,0.657821536064148,0.6624283194541931,0.661777675151825,0.7709362357854843,0.8387669920921326,0.8592517626042889,0.7889886957773052
mnist,2024,9,88,above,1103,additional_rejected,accepted,0.6704349517822266,0.7071385383605957,0.673565685749054,0.712137758731842,0.7709362357854843,0.8387669920921326,0.8736983092548214,0.8490293078362087
mnist,2024,9,91,floor,20,additional_rejected,accepted,0.5935998558998108,0.5935998558998108,0.594974160194397,0.5952954292297363,0.7709362357854843,0.8387669920921326,0.7717553444458286,0.7097268190595981
mnist,2024,9,92,above,515,additional_rejected,accepted,0.6944701075553894,0.642526388168335,0.6975240111351013,0.645636796951294,0.7709362357854843,0.8387669920921326,0.9047752314099162,0.7697451175813262
mnist,2024,9,96,above,2532,additional_rejected,accepted,0.6530627608299255,0.6635279059410095,0.656926691532135,0.6676098704338074,0.7709362357854843,0.8387669920921326,0.8521154682304065,0.7959419919095663
mnist,2024,9,97,above,76,L0_rejected,accepted,0.8000285029411316,0.815468966960907,0.8117968440055847,0.8288907408714294,0.7709362357854843,0.8387669920921326,1.0530012811999538,0.9882252743445843
mnist,2024,9,98,above,3259,L0_rejected,accepted,0.8015433549880981,0.771176815032959,0.8130475878715515,0.7827699184417725,0.7709362357854843,0.8387669920921326,1.0546236512584743,0.9332388205803296
