dataset,seed,round,contrast,before,after,count
har,42,0,B-A,accepted,accepted,90
har,42,0,C-A,accepted,accepted,90
har,42,0,C-B,accepted,accepted,90
har,42,9,B-A,accepted,accepted,90
har,42,9,C-A,accepted,accepted,90
har,42,9,C-B,accepted,accepted,90
har,42,19,B-A,accepted,accepted,90
har,42,19,C-A,accepted,accepted,90
har,42,19,C-B,accepted,accepted,90
har,42,29,B-A,L0_rejected,L0_rejected,9
har,42,29,B-A,L0_rejected,accepted,1
har,42,29,B-A,accepted,accepted,80
har,42,29,C-A,L0_rejected,L0_rejected,10
har,42,29,C-A,accepted,accepted,80
har,42,29,C-B,L0_rejected,L0_rejected,9
har,42,29,C-B,accepted,L0_rejected,1
har,42,29,C-B,accepted,accepted,80
har,137,0,B-A,accepted,accepted,90
har,137,0,C-A,accepted,accepted,90
har,137,0,C-B,accepted,accepted,90
har,137,9,B-A,accepted,accepted,90
har,137,9,C-A,accepted,accepted,90
har,137,9,C-B,accepted,accepted,90
har,137,19,B-A,accepted,accepted,90
har,137,19,C-A,accepted,accepted,90
har,137,19,C-B,accepted,accepted,90
har,137,29,B-A,accepted,accepted,90
har,137,29,C-A,accepted,accepted,90
har,137,29,C-B,accepted,accepted,90
har,2024,0,B-A,accepted,accepted,90
har,2024,0,C-A,accepted,accepted,90
har,2024,0,C-B,accepted,accepted,90
har,2024,9,B-A,accepted,accepted,90
har,2024,9,C-A,accepted,accepted,90
har,2024,9,C-B,accepted,accepted,90
har,2024,19,B-A,accepted,accepted,90
har,2024,19,C-A,accepted,accepted,90
har,2024,19,C-B,accepted,accepted,90
har,2024,29,B-A,accepted,accepted,90
har,2024,29,C-A,accepted,accepted,90
har,2024,29,C-B,accepted,accepted,90
mnist,42,0,B-A,accepted,accepted,90
mnist,42,0,C-A,accepted,accepted,90
mnist,42,0,C-B,accepted,accepted,90
mnist,42,9,B-A,L0_rejected,L0_rejected,38
mnist,42,9,B-A,accepted,accepted,52
mnist,42,9,C-A,L0_rejected,L0_rejected,38
mnist,42,9,C-A,accepted,L0_rejected,1
mnist,42,9,C-A,accepted,accepted,51
mnist,42,9,C-B,L0_rejected,L0_rejected,38
mnist,42,9,C-B,accepted,L0_rejected,1
mnist,42,9,C-B,accepted,accepted,51
mnist,42,19,B-A,L0_rejected,L0_rejected,40
mnist,42,19,B-A,accepted,accepted,50
mnist,42,19,C-A,L0_rejected,L0_rejected,40
mnist,42,19,C-A,accepted,accepted,50
mnist,42,19,C-B,L0_rejected,L0_rejected,40
mnist,42,19,C-B,accepted,accepted,50
mnist,42,29,B-A,L0_rejected,L0_rejected,37
mnist,42,29,B-A,accepted,accepted,51
mnist,42,29,B-A,accepted,additional_rejected,2
mnist,42,29,C-A,L0_rejected,L0_rejected,37
mnist,42,29,C-A,accepted,accepted,53
mnist,42,29,C-B,L0_rejected,L0_rejected,37
mnist,42,29,C-B,accepted,accepted,51
mnist,42,29,C-B,additional_rejected,accepted,2
mnist,137,0,B-A,L0_rejected,L0_rejected,14
mnist,137,0,B-A,L0_rejected,accepted,7
mnist,137,0,B-A,accepted,accepted,69
mnist,137,0,C-A,L0_rejected,L0_rejected,5
mnist,137,0,C-A,L0_rejected,accepted,16
mnist,137,0,C-A,accepted,accepted,69
mnist,137,0,C-B,L0_rejected,L0_rejected,5
mnist,137,0,C-B,L0_rejected,accepted,9
mnist,137,0,C-B,accepted,accepted,76
mnist,137,9,B-A,L0_rejected,L0_rejected,40
mnist,137,9,B-A,accepted,accepted,50
mnist,137,9,C-A,L0_rejected,L0_rejected,40
mnist,137,9,C-A,accepted,accepted,50
mnist,137,9,C-B,L0_rejected,L0_rejected,40
mnist,137,9,C-B,accepted,accepted,50
mnist,137,19,B-A,L0_rejected,L0_rejected,38
mnist,137,19,B-A,accepted,accepted,52
mnist,137,19,C-A,L0_rejected,L0_rejected,38
mnist,137,19,C-A,accepted,accepted,52
mnist,137,19,C-B,L0_rejected,L0_rejected,38
mnist,137,19,C-B,accepted,accepted,52
mnist,137,29,B-A,L0_rejected,L0_rejected,37
mnist,137,29,B-A,accepted,accepted,53
mnist,137,29,C-A,L0_rejected,L0_rejected,37
mnist,137,29,C-A,accepted,accepted,53
mnist,137,29,C-B,L0_rejected,L0_rejected,37
mnist,137,29,C-B,accepted,accepted,53
mnist,2024,0,B-A,accepted,accepted,90
mnist,2024,0,C-A,accepted,accepted,90
mnist,2024,0,C-B,accepted,accepted,90
mnist,2024,9,B-A,L0_rejected,L0_rejected,15
mnist,2024,9,B-A,L0_rejected,accepted,5
mnist,2024,9,B-A,accepted,accepted,56
mnist,2024,9,B-A,additional_rejected,accepted,4
mnist,2024,9,B-A,additional_rejected,additional_rejected,10
mnist,2024,9,C-A,L0_rejected,L0_rejected,14
mnist,2024,9,C-A,L0_rejected,accepted,6
mnist,2024,9,C-A,accepted,accepted,56
mnist,2024,9,C-A,additional_rejected,accepted,10
