dataset,round,seeds,A_fpr,A_floor_fpr,A_above_fpr,A_floor_norm,A_above_norm,A_accuracy,B_fpr,B_floor_fpr,B_above_fpr,B_floor_norm,B_above_norm,B_accuracy,C_fpr,C_floor_fpr,C_above_fpr,C_floor_norm,C_above_norm,C_accuracy
har,0,3,0.0,0.0,0.0,0.315490260720253,0.3013466149568558,0.1825585341024771,0.0,0.0,0.0,0.31624266505241394,0.3026454895734787,0.1825585341024771,0.0,0.0,0.0,0.31645336747169495,0.3162063807249069,0.1825585341024771
har,9,3,0.0,0.0,0.0,0.3832690864801407,0.603386402130127,0.34781133355955207,0.0,0.0,0.0,0.38402897119522095,0.5952154695987701,0.3498473023413641,0.0,0.0,0.0,0.38353055715560913,0.5905033648014069,0.3474720054292501
har,19,3,0.0,0.0,0.0,0.307239830493927,0.6394128799438477,0.44248388191381066,0.0,0.0,0.0,0.30895107984542847,0.633815735578537,0.44350186630471666,0.0,0.0,0.0,0.3022407442331314,0.616258978843689,0.4428232100441127
har,29,3,0.0,0.0,0.0,0.2205621525645256,0.6047796905040741,0.4129623345775365,0.0,0.0,0.0,0.21354064345359802,0.6212900876998901,0.4149983033593485,0.0,0.0,0.0,0.20789630711078644,0.6111858189105988,0.41228367831693247
mnist,0,3,0.0,0.0,0.0,0.624798059463501,0.7062745094299316,0.1057,0.0,0.0,0.0,0.624798059463501,0.711323082447052,0.1073,0.0,0.0,0.0,0.624798059463501,0.724513590335846,0.1086
mnist,9,3,0.4222222222222222,0.09433962264150944,0.8333333333333334,0.13074152171611786,0.9012467861175537,0.2127,0.4222222222222222,0.09433962264150944,0.8333333333333334,0.13074152171611786,0.9231869578361511,0.2126,0.43333333333333335,0.08163265306122448,0.8333333333333334,0.13074152171611786,0.9200179576873779,0.2127
mnist,19,3,0.4222222222222222,0.08333333333333333,0.8461538461538461,0.10418285056948662,0.9661875665187836,0.2131,0.4222222222222222,0.08333333333333333,0.8461538461538461,0.10418285056948662,0.9542272984981537,0.2131,0.4222222222222222,0.08333333333333333,0.8461538461538461,0.10418285056948662,0.9428917169570923,0.2131
mnist,29,3,0.4111111111111111,0.08,0.8205128205128205,0.0978674404323101,0.9449780881404877,0.2595,0.4111111111111111,0.08,0.8205128205128205,0.0978674404323101,0.9860836565494537,0.2651,0.4111111111111111,0.08,0.8205128205128205,0.0978674404323101,0.9742390215396881,0.2584
fashion_mnist,0,3,0.0,0.0,0.0,0.7698661684989929,0.7266833186149597,0.2394,0.0,0.0,0.0,0.7698661684989929,0.731348305940628,0.2389,0.0,0.0,0.0,0.7698661684989929,0.7311547100543976,0.2352
fashion_mnist,9,3,0.05555555555555555,0.0,0.14285714285714285,0.26110759377479553,0.5835191011428833,0.4789,0.05555555555555555,0.0,0.14285714285714285,0.26110759377479553,0.6292513012886047,0.4754,0.08888888888888889,0.01818181818181818,0.2,0.26110759377479553,0.614370197057724,0.4759
fashion_mnist,19,3,0.12222222222222222,0.0,0.2972972972972973,0.21155624091625214,0.5549222528934479,0.5258,0.15555555555555556,0.0,0.3783783783783784,0.21155624091625214,0.558925986289978,0.5178,0.15555555555555556,0.018867924528301886,0.35135135135135137,0.21155624091625214,0.5653473138809204,0.5245
fashion_mnist,29,3,0.18888888888888888,0.03636363636363636,0.42857142857142855,0.22860534489154816,0.5095949321985245,0.5377,0.16666666666666666,0.03636363636363636,0.37142857142857144,0.22860534489154816,0.5194473564624786,0.541,0.17777777777777778,0.03636363636363636,0.4,0.22860534489154816,0.5201338231563568,0.5397
