dataset,seed,round,contrast,a_fpr,b_fpr,delta_fpr_pp,delta_accuracy_pp,changed_decisions,accepted_jaccard
har,42,0,B-A,0.0,0.0,0.0,0.0,0,1.0
har,42,0,C-A,0.0,0.0,0.0,0.0,0,1.0
har,42,0,C-B,0.0,0.0,0.0,0.0,0,1.0
har,42,9,B-A,0.0,0.0,0.0,0.0,0,1.0
har,42,9,C-A,0.0,0.0,0.0,0.0339328130302019,0,1.0
har,42,9,C-B,0.0,0.0,0.0,0.0339328130302019,0,1.0
har,42,19,B-A,0.0,0.0,0.0,0.10179843909060016,0,1.0
har,42,19,C-A,0.0,0.0,0.0,0.0339328130302019,0,1.0
har,42,19,C-B,0.0,0.0,0.0,-0.06786562606039825,0,1.0
har,42,29,B-A,0.1111111111111111,0.1,-1.1111111111111098,0.2035968781812003,1,0.9876543209876543
har,42,29,C-A,0.1111111111111111,0.1111111111111111,0.0,-0.0678656260604038,0,1.0
har,42,29,C-B,0.1,0.1111111111111111,1.1111111111111098,-0.2714625042416041,1,0.9876543209876543
har,137,0,B-A,0.0,0.0,0.0,0.0,0,1.0
har,137,0,C-A,0.0,0.0,0.0,0.0,0,1.0
har,137,0,C-B,0.0,0.0,0.0,0.0,0,1.0
har,137,9,B-A,0.0,0.0,0.0,-0.06786562606040103,0,1.0
har,137,9,C-A,0.0,0.0,0.0,-0.06786562606040103,0,1.0
har,137,9,C-B,0.0,0.0,0.0,0.0,0,1.0
har,137,19,B-A,0.0,0.0,0.0,0.0339328130302019,0,1.0
har,137,19,C-A,0.0,0.0,0.0,0.0,0,1.0
har,137,19,C-B,0.0,0.0,0.0,-0.0339328130302019,0,1.0
har,137,29,B-A,0.0,0.0,0.0,-0.03393281303019635,0,1.0
har,137,29,C-A,0.0,0.0,0.0,-0.23752969121139667,0,1.0
har,137,29,C-B,0.0,0.0,0.0,-0.2035968781812003,0,1.0
har,2024,0,B-A,0.0,0.0,0.0,0.30539531727180047,0,1.0
har,2024,0,C-A,0.0,0.0,0.0,0.8143875127248068,0,1.0
har,2024,0,C-B,0.0,0.0,0.0,0.5089921954530063,0,1.0
har,2024,9,B-A,0.0,0.0,0.0,0.2035968781812003,0,1.0
har,2024,9,C-A,0.0,0.0,0.0,-0.03393281303019635,0,1.0
har,2024,9,C-B,0.0,0.0,0.0,-0.23752969121139667,0,1.0
har,2024,19,B-A,0.0,0.0,0.0,-0.2035968781812003,0,1.0
har,2024,19,C-A,0.0,0.0,0.0,-0.2035968781812003,0,1.0
har,2024,19,C-B,0.0,0.0,0.0,0.0,0,1.0
har,2024,29,B-A,0.0,0.0,0.0,-1.934170342721414,0,1.0
har,2024,29,C-A,0.0,0.0,0.0,-2.443162538174415,0,1.0
har,2024,29,C-B,0.0,0.0,0.0,-0.5089921954530008,0,1.0
mnist,42,0,B-A,0.0,0.0,0.0,0.010000000000000286,0,1.0
mnist,42,0,C-A,0.0,0.0,0.0,-0.020000000000000573,0,1.0
mnist,42,0,C-B,0.0,0.0,0.0,-0.03000000000000086,0,1.0
mnist,42,9,B-A,0.4222222222222222,0.4222222222222222,0.0,0.009999999999998899,0,1.0
mnist,42,9,C-A,0.4222222222222222,0.43333333333333335,1.1111111111111127,0.009999999999998899,1,0.9807692307692307
mnist,42,9,C-B,0.4222222222222222,0.43333333333333335,1.1111111111111127,0.0,1,0.9807692307692307
mnist,42,19,B-A,0.4444444444444444,0.4444444444444444,0.0,-0.050000000000000044,0,1.0
mnist,42,19,C-A,0.4444444444444444,0.4444444444444444,0.0,-0.020000000000000573,0,1.0
mnist,42,19,C-B,0.4444444444444444,0.4444444444444444,0.0,0.02999999999999947,0,1.0
mnist,42,29,B-A,0.4111111111111111,0.43333333333333335,2.2222222222222254,0.5599999999999994,2,0.9622641509433962
mnist,42,29,C-A,0.4111111111111111,0.4111111111111111,0.0,-0.10999999999999899,0,1.0
mnist,42,29,C-B,0.43333333333333335,0.4111111111111111,-2.2222222222222254,-0.6699999999999984,2,0.9622641509433962
mnist,137,0,B-A,0.23333333333333334,0.15555555555555556,-7.777777777777778,0.16000000000000042,7,0.9078947368421053
mnist,137,0,C-A,0.23333333333333334,0.05555555555555555,-17.77777777777778,0.29,16,0.8117647058823529
mnist,137,0,C-B,0.15555555555555556,0.05555555555555555,-10.0,0.12999999999999956,9,0.8941176470588236
mnist,137,9,B-A,0.4444444444444444,0.4444444444444444,0.0,-0.009999999999998899,0,1.0
mnist,137,9,C-A,0.4444444444444444,0.4444444444444444,0.0,0.0,0,1.0
