dataset,scenario,mode,factor,fpr,tpr
fashion_mnist,cut_backdoor,attacked,1.0,0.5325617283950618,0.3697530864197531
fashion_mnist,cut_backdoor,attacked,1.25,0.20972222222222223,0.09691358024691359
fashion_mnist,cut_backdoor,attacked,1.5,0.07469135802469136,0.025308641975308643
fashion_mnist,cut_backdoor,attacked,2.0,0.0015432098765432098,0.0006172839506172839
fashion_mnist,cut_backdoor,attacked,2.5,0.0,0.0
fashion_mnist,cut_backdoor,clean,1.0,0.5,
fashion_mnist,cut_backdoor,clean,1.25,0.17950617283950618,
fashion_mnist,cut_backdoor,clean,1.5,0.062469135802469135,
fashion_mnist,cut_backdoor,clean,2.0,0.0028395061728395065,
fashion_mnist,cut_backdoor,clean,2.5,0.0001234567901234568,
fashion_mnist,cut_gaussian,attacked,1.0,0.375,1.0
fashion_mnist,cut_gaussian,attacked,1.25,0.2217592592592593,1.0
fashion_mnist,cut_gaussian,attacked,1.5,0.1300925925925926,1.0
fashion_mnist,cut_gaussian,attacked,2.0,0.04058641975308642,1.0
fashion_mnist,cut_gaussian,attacked,2.5,0.016512345679012348,1.0
fashion_mnist,cut_gaussian,clean,1.0,0.5,
fashion_mnist,cut_gaussian,clean,1.25,0.3646913580246913,
fashion_mnist,cut_gaussian,clean,1.5,0.2875308641975309,
fashion_mnist,cut_gaussian,clean,2.0,0.1876543209876543,
fashion_mnist,cut_gaussian,clean,2.5,0.1580246913580247,
fashion_mnist,cut_minmax,attacked,1.0,0.38719135802469135,0.9333333333333332
fashion_mnist,cut_minmax,attacked,1.25,0.059259259259259255,0.43333333333333335
fashion_mnist,cut_minmax,attacked,1.5,0.000462962962962963,0.011111111111111112
fashion_mnist,cut_minmax,attacked,2.0,0.0,0.0
fashion_mnist,cut_minmax,attacked,2.5,0.0,0.0
fashion_mnist,cut_minmax,clean,1.0,0.5,
fashion_mnist,cut_minmax,clean,1.25,0.3646913580246913,
fashion_mnist,cut_minmax,clean,1.5,0.2875308641975309,
fashion_mnist,cut_minmax,clean,2.0,0.1876543209876543,
fashion_mnist,cut_minmax,clean,2.5,0.1580246913580247,
mnist,cut_backdoor,attacked,1.0,0.5510802469135802,0.295679012345679
mnist,cut_backdoor,attacked,1.25,0.18765432098765433,0.03827160493827161
mnist,cut_backdoor,attacked,1.5,0.051388888888888894,0.0
mnist,cut_backdoor,attacked,2.0,0.00015432098765432098,0.0
mnist,cut_backdoor,attacked,2.5,0.0,0.0
mnist,cut_backdoor,clean,1.0,0.5,
mnist,cut_backdoor,clean,1.25,0.1619753086419753,
mnist,cut_backdoor,clean,1.5,0.04938271604938271,
mnist,cut_backdoor,clean,2.0,0.0001234567901234568,
mnist,cut_backdoor,clean,2.5,0.0,
mnist,cut_gaussian,attacked,1.0,0.375,1.0
mnist,cut_gaussian,attacked,1.25,0.2510802469135802,1.0
mnist,cut_gaussian,attacked,1.5,0.15648148148148147,1.0
mnist,cut_gaussian,attacked,2.0,0.08472222222222221,1.0
mnist,cut_gaussian,attacked,2.5,0.06373456790123457,1.0
mnist,cut_gaussian,clean,1.0,0.5,
mnist,cut_gaussian,clean,1.25,0.46271604938271604,
mnist,cut_gaussian,clean,1.5,0.44148148148148153,
mnist,cut_gaussian,clean,2.0,0.3906172839506173,
mnist,cut_gaussian,clean,2.5,0.34,
mnist,cut_minmax,attacked,1.0,0.3762345679012346,0.9888888888888889
mnist,cut_minmax,attacked,1.25,0.10925925925925926,0.3444444444444445
mnist,cut_minmax,attacked,1.5,0.0345679012345679,0.2888888888888889
mnist,cut_minmax,attacked,2.0,0.0,0.0
mnist,cut_minmax,attacked,2.5,0.0,0.0
mnist,cut_minmax,clean,1.0,0.5,
mnist,cut_minmax,clean,1.25,0.46271604938271604,
mnist,cut_minmax,clean,1.5,0.44148148148148153,
mnist,cut_minmax,clean,2.0,0.3906172839506173,
mnist,cut_minmax,clean,2.5,0.34,
