dataset,scenario,mode,seed,factor,fp,tn,tp,fn,fpr,tpr
fashion_mnist,cut_backdoor,attacked,42,1.0,1200,960,150,390,0.5555555555555556,0.2777777777777778
fashion_mnist,cut_backdoor,attacked,42,1.25,434,1726,24,516,0.20092592592592592,0.044444444444444446
fashion_mnist,cut_backdoor,attacked,42,1.5,188,1972,2,538,0.08703703703703704,0.003703703703703704
fashion_mnist,cut_backdoor,attacked,42,2.0,5,2155,0,540,0.0023148148148148147,0.0
fashion_mnist,cut_backdoor,attacked,42,2.5,0,2160,0,540,0.0,0.0
fashion_mnist,cut_backdoor,attacked,137,1.0,1155,1005,195,345,0.5347222222222222,0.3611111111111111
fashion_mnist,cut_backdoor,attacked,137,1.25,446,1714,67,473,0.2064814814814815,0.12407407407407407
fashion_mnist,cut_backdoor,attacked,137,1.5,144,2016,12,528,0.06666666666666667,0.022222222222222223
fashion_mnist,cut_backdoor,attacked,137,2.0,5,2155,1,539,0.0023148148148148147,0.001851851851851852
fashion_mnist,cut_backdoor,attacked,137,2.5,0,2160,0,540,0.0,0.0
fashion_mnist,cut_backdoor,attacked,2024,1.0,1096,1064,254,286,0.5074074074074074,0.4703703703703704
fashion_mnist,cut_backdoor,attacked,2024,1.25,479,1681,66,474,0.22175925925925927,0.12222222222222222
fashion_mnist,cut_backdoor,attacked,2024,1.5,152,2008,27,513,0.07037037037037037,0.05
fashion_mnist,cut_backdoor,attacked,2024,2.0,0,2160,0,540,0.0,0.0
fashion_mnist,cut_backdoor,attacked,2024,2.5,0,2160,0,540,0.0,0.0
fashion_mnist,cut_backdoor,clean,42,1.0,1350,1350,0,0,0.5,
fashion_mnist,cut_backdoor,clean,42,1.25,427,2273,0,0,0.15814814814814815,
fashion_mnist,cut_backdoor,clean,42,1.5,170,2530,0,0,0.06296296296296296,
fashion_mnist,cut_backdoor,clean,42,2.0,2,2698,0,0,0.0007407407407407407,
fashion_mnist,cut_backdoor,clean,42,2.5,0,2700,0,0,0.0,
fashion_mnist,cut_backdoor,clean,137,1.0,1350,1350,0,0,0.5,
fashion_mnist,cut_backdoor,clean,137,1.25,499,2201,0,0,0.18481481481481482,
fashion_mnist,cut_backdoor,clean,137,1.5,179,2521,0,0,0.0662962962962963,
fashion_mnist,cut_backdoor,clean,137,2.0,4,2696,0,0,0.0014814814814814814,
