dataset,scenario,mode,gate_reason,layer,rounds
fashion_mnist,cut_backdoor,attacked,density_gap_without_l0_support,L0_only,88
fashion_mnist,cut_backdoor,attacked,no_density_gap,L0_only,2
fashion_mnist,cut_backdoor,clean,density_gap_without_l0_support,L0_only,86
fashion_mnist,cut_backdoor,clean,no_density_gap,L0_only,4
fashion_mnist,cut_gaussian,attacked,density_gap+l0_outlier_support,L0+L2_SNNC,90
fashion_mnist,cut_gaussian,clean,density_gap+l0_outlier_support,L0+L2_SNNC,41
fashion_mnist,cut_gaussian,clean,density_gap+l0_outlier_support,L3_safety_fallback_L0,4
fashion_mnist,cut_gaussian,clean,density_gap_without_l0_support,L0_only,40
fashion_mnist,cut_gaussian,clean,no_density_gap,L0_only,4
fashion_mnist,cut_gaussian,clean,temporal_momentum,L0+L2_SNNC,1
fashion_mnist,cut_minmax,attacked,density_gap_without_l0_support,L0_only,90
fashion_mnist,cut_minmax,clean,density_gap+l0_outlier_support,L0+L2_SNNC,41
fashion_mnist,cut_minmax,clean,density_gap+l0_outlier_support,L3_safety_fallback_L0,4
fashion_mnist,cut_minmax,clean,density_gap_without_l0_support,L0_only,40
fashion_mnist,cut_minmax,clean,no_density_gap,L0_only,4
fashion_mnist,cut_minmax,clean,temporal_momentum,L0+L2_SNNC,1
mnist,cut_backdoor,attacked,density_gap_without_l0_support,L0_only,89
mnist,cut_backdoor,attacked,no_density_gap,L0_only,1
mnist,cut_backdoor,clean,density_gap_without_l0_support,L0_only,81
mnist,cut_backdoor,clean,no_density_gap,L0_only,9
mnist,cut_gaussian,attacked,density_gap+l0_outlier_support,L0+L2_SNNC,89
mnist,cut_gaussian,attacked,density_gap+l0_outlier_support,L3_safety_fallback_L0,1
mnist,cut_gaussian,clean,density_gap+l0_outlier_support,L0+L2_SNNC,75
mnist,cut_gaussian,clean,density_gap+l0_outlier_support,L3_safety_fallback_L0,6
mnist,cut_gaussian,clean,density_gap_without_l0_support,L0_only,2
mnist,cut_gaussian,clean,no_density_gap,L0_only,1
mnist,cut_gaussian,clean,temporal_momentum,L0+L2_SNNC,6
mnist,cut_minmax,attacked,density_gap_without_l0_support,L0_only,90
mnist,cut_minmax,clean,density_gap+l0_outlier_support,L0+L2_SNNC,75
mnist,cut_minmax,clean,density_gap+l0_outlier_support,L3_safety_fallback_L0,6
mnist,cut_minmax,clean,density_gap_without_l0_support,L0_only,2
mnist,cut_minmax,clean,no_density_gap,L0_only,1
mnist,cut_minmax,clean,temporal_momentum,L0+L2_SNNC,6
