reference,mode,dataset,scenario,seed,round,gate,cutoff,fp,tp,honest_count,malicious_count,fpr,tpr,layer,fallback,natural_clusters,rejected_clusters,attack_gate
0,cutoff_attacked,fashion_mnist,scenario_cut_minmax,137,0,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
0,cutoff_attacked,fashion_mnist,scenario_cut_minmax,137,0,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
0,cutoff_attacked,fashion_mnist,scenario_cut_minmax,137,0,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,0,0,True
0,cutoff_attacked,fashion_mnist,scenario_cut_minmax,137,0,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,2,0,True
0,cutoff_attacked,fashion_mnist,scenario_cut_minmax,137,9,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
0,cutoff_attacked,fashion_mnist,scenario_cut_minmax,137,9,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
0,cutoff_attacked,fashion_mnist,scenario_cut_minmax,137,9,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,0,0,True
0,cutoff_attacked,fashion_mnist,scenario_cut_minmax,137,9,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
0,cutoff_attacked,fashion_mnist,scenario_cut_minmax,137,29,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
0,cutoff_attacked,fashion_mnist,scenario_cut_minmax,137,29,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
0,cutoff_attacked,fashion_mnist,scenario_cut_minmax,137,29,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,0,0,True
0,cutoff_attacked,fashion_mnist,scenario_cut_minmax,137,29,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
1,cutoff_attacked,fashion_mnist,scenario_cut_minmax,2024,0,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
1,cutoff_attacked,fashion_mnist,scenario_cut_minmax,2024,0,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
1,cutoff_attacked,fashion_mnist,scenario_cut_minmax,2024,0,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,0,0,True
1,cutoff_attacked,fashion_mnist,scenario_cut_minmax,2024,0,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
1,cutoff_attacked,fashion_mnist,scenario_cut_minmax,2024,9,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
1,cutoff_attacked,fashion_mnist,scenario_cut_minmax,2024,9,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
1,cutoff_attacked,fashion_mnist,scenario_cut_minmax,2024,9,density_only,True,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,0,0,True
1,cutoff_attacked,fashion_mnist,scenario_cut_minmax,2024,9,density_only,False,0,0,72,18,0.0,0.0,L0+L2_SNNC,False,1,0,True
1,cutoff_attacked,fashion_mnist,scenario_cut_minmax,2024,29,original,True,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
1,cutoff_attacked,fashion_mnist,scenario_cut_minmax,2024,29,original,False,0,0,72,18,0.0,0.0,L0_only,False,0,0,False
