source,reference,round,attackers,honest,attackers_bit_identical,attacker_distance_sum_min,attacker_distance_sum_max,attacker_zero_sum,attacker_rd_min,honest_rd_max,density_gap,threshold,low_density_attackers,low_density_honest
five-step development,runs/cutoff_attacked/fashion_mnist/scenario_cut_minmax/runs/fed_mdbscan_g_seed137.json,0,18,72,True,3.1168013947535655e-07,3.1168013947535655e-07,0,16042087.277092393,10.11759098176457,True,8021048.697341688,0,72
five-step development,runs/cutoff_attacked/fashion_mnist/scenario_cut_minmax/runs/fed_mdbscan_g_seed137.json,9,18,72,True,4.148307652940275e-07,4.148307652940275e-07,0,12053107.9618843,20.451949409901292,True,6026564.206916855,0,72
five-step development,runs/cutoff_attacked/fashion_mnist/scenario_cut_minmax/runs/fed_mdbscan_g_seed137.json,29,18,72,True,4.3762252488477316e-07,4.3762252488477316e-07,0,11425371.674633315,18.490586317872445,True,5712695.082609816,0,72
five-step development,runs/cutoff_attacked/fashion_mnist/scenario_cut_minmax/runs/fed_mdbscan_g_seed2024.json,0,18,72,True,2.83709660209297e-07,2.83709660209297e-07,0,17623650.870088182,8.10449940415644,True,8811829.487293793,0,72
five-step development,runs/cutoff_attacked/fashion_mnist/scenario_cut_minmax/runs/fed_mdbscan_g_seed2024.json,9,18,72,True,5.372690026206328e-07,5.372690026206328e-07,0,9306325.091549184,13.441664043284533,True,4653169.266606614,0,72
five-step development,runs/cutoff_attacked/fashion_mnist/scenario_cut_minmax/runs/fed_mdbscan_g_seed2024.json,29,18,72,True,5.107860800990238e-07,5.107860800990238e-07,0,9788833.711033536,13.540929185371093,True,4894423.625981361,0,72
five-step development,runs/cutoff_attacked/fashion_mnist/scenario_cut_minmax/runs/fed_mdbscan_g_seed42.json,0,18,72,True,3.0492813607452263e-07,3.0492813607452263e-07,0,16397306.146842513,7.378362837040958,True,8198656.762602675,0,72
five-step development,runs/cutoff_attacked/fashion_mnist/scenario_cut_minmax/runs/fed_mdbscan_g_seed42.json,9,18,72,True,5.372690026206328e-07,5.372690026206328e-07,0,9306325.091549184,10.617775447414463,True,4653167.854662316,0,72
five-step development,runs/cutoff_attacked/fashion_mnist/scenario_cut_minmax/runs/fed_mdbscan_g_seed42.json,29,18,72,True,5.67419320418594e-07,5.67419320418594e-07,0,8811825.435044091,9.793993840698045,True,4405917.614518966,0,72
five-step development,runs/cutoff_attacked/mnist/scenario_cut_minmax/runs/fed_mdbscan_g_seed137.json,0,18,72,True,2.8125324291750076e-07,2.8125324291750076e-07,0,17777572.795726433,5.09827278974301,True,8888788.946999611,0,72
