dataset,alpha,seed,root_n,client_n,root_client_overlap,client_duplicate_indices,classes_covered,min_class_n,max_class_n,target0_n,donor_clients,largest_donor_n,tv_root_client,tv_root_full,partition_sha256,root_indices_sha256
mnist,0.01,42,100,53038,0,0,10,5,14,10,28,11,0.11919039179456237,0.10208333333333333,e2dc09b7b22cf13b724b087153c0bb337592bcd68421afe00f94e180b6148892,c6e9012873afccf0ac1d27344e3d9abf26eab0951d2a1c8c206975d131560463
mnist,0.01,137,100,48110,0,0,10,5,17,9,23,10,0.1462315526917481,0.15258333333333335,eaa1611c80b43de5bd2fc471daedddd90686f8ff5e8f8ca2dfe236aedaf8241e,4b0ce5b42ffa2a280a8263b0ac4b635795eb083daaf9b88c9f048fce4445c013
mnist,0.01,2024,100,51247,0,0,10,4,15,13,27,15,0.13250609791792692,0.17798333333333335,15c1b5ee005c6dacc762ec32ba1152854b5c1f31408d1e8e79008041932573be,058ec918283bc5a6c58f9c6161216451c554a8b27723092405f4e8b5ac66aa81
mnist,0.1,42,100,49890,0,0,10,5,15,15,55,5,0.11063740228502707,0.13419999999999999,06138232a985d9d84788d852eca190eec2efe48271b36bf5f1a8d57bc3001945,befdbe8dc3a074d1ad0a78d56d51cdbeee1b6a8edbc369d52c5ce3afff3f4cf9
mnist,0.1,137,100,50214,0,0,10,4,20,9,51,9,0.12858644999402558,0.15494999999999998,54703aa2dae8031a086657a34253f9ea9e0082e9c850dc4e199480e3693f436f,4ddb6d9a6da6d5668a1bffcedc371e286d9706079a32f53081f17184c947556d
mnist,0.1,2024,100,50289,0,0,10,4,16,12,43,9,0.1573276462049355,0.15156666666666668,e9d362f1566d18b86a990eb01ede1c6d51d0bada0118a05106c06588753b45dc,dcfd747780b57e3ffea1062251e253f7eaeed2f18804350fd26986f1ba6879fe
fashion_mnist,0.01,42,100,54541,0,0,10,5,17,7,25,10,0.14683540822500504,0.15000000000000002,537c52a6e4034bb0d57868c279114057b02b533b1978ea3728291dfd8cef996e,f5a08b8049bc398c9278e09ffcd8b095fe3222b12648eb97cb3aae97782c450a
fashion_mnist,0.01,137,100,53255,0,0,10,6,16,12,23,11,0.1254088817951366,0.13,42993e694a5bd058615b48843b52fa2058a025bda27040a9d9c9b96ea7f8768f,3e886fd1d971383a9736e157f50886c13fb59959655b00c0765050c9e1aae229
fashion_mnist,0.01,2024,100,55124,0,0,10,4,16,7,26,13,0.19418111893186274,0.21000000000000002,440e02ce48246a112197fa49f8c75299a8ff071fdd9a967c47df377d2f732e0c,cc97b24a3b259802e487d70a6583dd58b2e16162a2800f5b8450beea943d7d31
fashion_mnist,0.1,42,100,48211,0,0,10,2,18,18,53,6,0.1328171993943291,0.15,244856d6d04b4d3f981ce56f0fc9572b6929128439466346940b4b1ebf6daa0b,f82b606791b3e6484623b1ac08acc4edba61bd312b919889597430f540183ffa
fashion_mnist,0.1,137,100,50788,0,0,10,5,17,16,50,6,0.12923525242183193,0.15000000000000002,abf1d177519e64468b59a862fccd4c78c1980ba7d66a50a4175b33db2b9aae39,5ae446030fb3ac292231ca6d16a84101bb35aa16da0ed0555b8e2d370b157739
fashion_mnist,0.1,2024,100,54263,0,0,10,5,15,5,46,6,0.12715404603505154,0.12000000000000002,828793155c0ab68f84eacbd4b0add8a7fd3d79b8d8307c30f39a84cf99463fbc,d8488541652d3600da18f4a1bc12e4407f5bbc9d3bcc9001099128b12b5d85db
