dataset,attack,mode,seed,round,honest,attackers,honest_flagged,attackers_flagged
fashion_mnist,minmax,attacked,137,0,72,18,37,18
fashion_mnist,minmax,attacked,137,9,72,18,35,18
fashion_mnist,minmax,attacked,137,29,72,18,32,18
fashion_mnist,minmax,attacked,2024,0,72,18,34,18
fashion_mnist,minmax,attacked,2024,9,72,18,42,18
fashion_mnist,minmax,attacked,2024,29,72,18,41,18
fashion_mnist,minmax,attacked,42,0,72,18,38,18
fashion_mnist,minmax,attacked,42,9,72,18,50,18
fashion_mnist,minmax,attacked,42,29,72,18,46,18
mnist,minmax,attacked,137,0,72,18,42,18
mnist,minmax,attacked,137,9,72,18,60,18
mnist,minmax,attacked,137,29,72,18,59,18
mnist,minmax,attacked,2024,0,72,18,37,18
mnist,minmax,attacked,2024,9,72,18,32,18
mnist,minmax,attacked,2024,29,72,18,33,18
mnist,minmax,attacked,42,0,72,18,41,18
mnist,minmax,attacked,42,9,72,18,32,18
mnist,minmax,attacked,42,29,72,18,32,18
fashion_mnist,minmax,clean,137,0,90,0,52,0
fashion_mnist,minmax,clean,137,9,90,0,62,0
fashion_mnist,minmax,clean,137,29,90,0,60,0
fashion_mnist,minmax,clean,2024,0,90,0,64,0
fashion_mnist,minmax,clean,2024,9,90,0,67,0
fashion_mnist,minmax,clean,2024,29,90,0,65,0
fashion_mnist,minmax,clean,42,0,90,0,49,0
fashion_mnist,minmax,clean,42,9,90,0,54,0
fashion_mnist,minmax,clean,42,29,90,0,56,0
mnist,minmax,clean,137,0,90,0,56,0
mnist,minmax,clean,137,9,90,0,54,0
mnist,minmax,clean,137,29,90,0,57,0
mnist,minmax,clean,2024,0,90,0,61,0
mnist,minmax,clean,2024,9,90,0,57,0
mnist,minmax,clean,2024,29,90,0,56,0
mnist,minmax,clean,42,0,90,0,57,0
mnist,minmax,clean,42,9,90,0,62,0
mnist,minmax,clean,42,29,90,0,59,0
fashion_mnist,backdoor,attacked,137,0,72,18,50,10
fashion_mnist,backdoor,attacked,137,9,72,18,42,15
fashion_mnist,backdoor,attacked,137,29,72,18,44,13
fashion_mnist,backdoor,attacked,2024,0,72,18,41,11
fashion_mnist,backdoor,attacked,2024,9,72,18,42,18
fashion_mnist,backdoor,attacked,2024,29,72,18,41,14
fashion_mnist,backdoor,attacked,42,0,72,18,51,8
fashion_mnist,backdoor,attacked,42,9,72,18,48,9
fashion_mnist,backdoor,attacked,42,29,72,18,50,4
mnist,backdoor,attacked,137,0,72,18,47,11
mnist,backdoor,attacked,137,9,72,18,43,16
mnist,backdoor,attacked,137,29,72,18,41,15
mnist,backdoor,attacked,2024,0,72,18,46,12
mnist,backdoor,attacked,2024,9,72,18,40,14
mnist,backdoor,attacked,2024,29,72,18,43,14
mnist,backdoor,attacked,42,0,72,18,48,11
mnist,backdoor,attacked,42,9,72,18,41,17
mnist,backdoor,attacked,42,29,72,18,40,16
fashion_mnist,backdoor,clean,137,0,90,0,55,0
fashion_mnist,backdoor,clean,137,9,90,0,56,0
fashion_mnist,backdoor,clean,137,29,90,0,55,0
fashion_mnist,backdoor,clean,2024,0,90,0,59,0
fashion_mnist,backdoor,clean,2024,9,90,0,56,0
fashion_mnist,backdoor,clean,2024,29,90,0,51,0
fashion_mnist,backdoor,clean,42,0,90,0,61,0
fashion_mnist,backdoor,clean,42,9,90,0,58,0
fashion_mnist,backdoor,clean,42,29,90,0,53,0
mnist,backdoor,clean,137,0,90,0,58,0
mnist,backdoor,clean,137,9,90,0,54,0
mnist,backdoor,clean,137,29,90,0,59,0
mnist,backdoor,clean,2024,0,90,0,57,0
mnist,backdoor,clean,2024,9,90,0,66,0
mnist,backdoor,clean,2024,29,90,0,59,0
mnist,backdoor,clean,42,0,90,0,64,0
mnist,backdoor,clean,42,9,90,0,55,0
mnist,backdoor,clean,42,29,90,0,59,0
