arm,variant,l0_rejected,extra_rejected,final_rejected,fpr_pct,natural_clusters,rejected_clusters,mean_size,required_size,unclustered,fallback,newly_accepted,newly_rejected
A,cutoff__floor2,20,14,34,37.77777777777778,6,5,3.230769230769231,3.230769230769231,22,False,0,0
A,no_cutoff__floor2,20,0,20,22.22222222222222,1,0,16.8,16.8,24,False,14,0
A,cutoff__no_floor,20,14,34,37.77777777777778,6,5,3.230769230769231,3.230769230769231,22,False,0,0
A,no_cutoff__no_floor,20,0,20,22.22222222222222,1,0,16.8,16.8,24,False,14,0
B,cutoff__floor2,15,10,25,27.77777777777778,3,2,2.073170731707317,2.073170731707317,38,False,0,0
B,no_cutoff__floor2,15,0,15,16.666666666666668,1,0,17.0,17.0,24,False,10,0
B,cutoff__no_floor,15,10,25,27.77777777777778,3,2,2.073170731707317,2.073170731707317,38,False,0,0
B,no_cutoff__no_floor,15,0,15,16.666666666666668,1,0,17.0,17.0,24,False,10,0
C,cutoff__floor2,14,4,18,20.0,2,1,1.7659574468085106,2.0,45,False,0,0
C,no_cutoff__floor2,14,0,14,15.555555555555555,1,0,16.6,16.6,24,False,4,0
C,cutoff__no_floor,14,4,18,20.0,2,1,1.7659574468085106,1.7659574468085106,45,False,0,0
C,no_cutoff__no_floor,14,0,14,15.555555555555555,1,0,16.6,16.6,24,False,4,0
