dataset,method,seed,round,n,norm_missing,fpr,accuracy,floor_n,floor_fp,nonfloor_n,nonfloor_fp,rho_samples_norm,rho_samples_reject,rho_entropy_norm,rho_samples_entropy,rho_samples_norm_nonfloor,rho_samples_reject_nonfloor,accepted_mass_fraction,quartile_gap
cifar10,fed_mdbscan_g,137,0,90,0,0.35555555555555557,0.1,55,3,35,29,0.531405691765455,0.75818790367383,-0.8910750408991718,-0.6550616546649408,-0.22998809496837094,0.0037534074287867065,0.2572692297626214,0.774703557312253
cifar10,fed_mdbscan_g,137,1,90,0,0.4444444444444444,0.1035,57,8,33,32,0.677662917983698,0.7613483577753849,-0.6359615796086301,-0.6807482569956884,-0.013202974893594134,-0.2970690858791229,0.2306172560751884,0.8675889328063242
cifar10,fed_mdbscan_g,137,2,90,0,0.4666666666666667,0.1304,55,8,35,34,0.6864161961128648,0.759193572416688,-0.5839724443570636,-0.6706968420570041,-0.10490930763173557,-0.28869535206408126,0.20000983937224806,0.8565217391304348
cifar10,fed_mdbscan_g,137,3,90,0,0.4777777777777778,0.1446,56,10,34,33,0.6818635400016467,0.7247582088969566,-0.5569707817394977,-0.6401885111643234,-0.028420811451270185,-0.2927923903776884,0.20261797107241888,0.8201581027667985
cifar10,fed_mdbscan_g,137,4,90,0,0.4222222222222222,0.1533,57,8,33,30,0.6811700756612217,0.7058042084590589,-0.5283441260210796,-0.6405557677736026,-0.018885267885773886,-0.2103511121791565,0.25546098118612787,0.7803030303030303
cifar10,fed_mdbscan_g,137,5,90,0,0.4111111111111111,0.1513,56,8,34,29,0.7052083013747737,0.6719130535136257,-0.6196941987873208,-0.6658729711921747,-0.11811444759049383,-0.02116356461974718,0.24154406188381616,0.7784679089026916
cifar10,fed_mdbscan_g,137,6,90,0,0.4444444444444444,0.1539,54,8,36,32,0.7028719447819066,0.6998799284490298,-0.7206652102880328,-0.6517019830367641,-0.1426089197881937,0.0,0.21835122544055094,0.7786561264822134
cifar10,fed_mdbscan_g,137,7,90,0,0.4666666666666667,0.1531,58,11,32,31,0.6779654125068818,0.7087342723867792,-0.6463154376466258,-0.6583136700768613,-0.2139125661994877,-0.3015389795482243,0.20835361947469572,0.8136363636363636
cifar10,fed_mdbscan_g,137,8,90,0,0.4,0.1559,55,5,35,31,0.6863880873415252,0.7592126186005956,-0.6334818105445854,-0.6462961984534215,-0.09342390946644544,-0.008892410164973772,0.22275682039207656,0.7836363636363637
cifar10,fed_mdbscan_g,137,9,90,0,0.4444444444444444,0.1565,54,9,36,31,0.6919637944730134,0.6537038627371574,-0.6664940065427776,-0.663232138899019,0.0028314028314028314,-0.019329912957275763,0.22907669666336944,0.7333333333333334
