dataset,method,seed,rounds,final_accuracy,fpr,rho_samples_norm_median,rho_samples_norm_valid_rounds,rho_samples_norm_round0,rho_samples_reject_median,rho_samples_reject_valid_rounds,rho_samples_reject_round0,rho_samples_norm_nonfloor_median,rho_samples_norm_nonfloor_valid_rounds,rho_samples_norm_nonfloor_round0,rho_samples_reject_nonfloor_median,rho_samples_reject_nonfloor_valid_rounds,rho_samples_reject_nonfloor_round0,rho_entropy_norm_median,rho_entropy_norm_valid_rounds,rho_entropy_norm_round0,rho_samples_entropy_median,rho_samples_entropy_valid_rounds,rho_samples_entropy_round0,quartile_gap_median,quartile_gap_valid_rounds,quartile_gap_round0,floor_n,floor_fp,floor_fpr,nonfloor_n,nonfloor_fp,nonfloor_fpr
cifar10,fed_mdbscan_g,137,30,0.1653,0.42444444444444446,0.686402141727195,30,0.531405691765455,0.6941756745521246,30,0.75818790367383,-0.034309852514892845,30,-0.22998809496837094,-0.040425435184678754,30,0.0037534074287867065,-0.6347470614447864,30,-0.8910750408991718,-0.6607729044879401,30,-0.6550616546649408,0.7745153397327311,30,0.774703557312253,1664,233,0.14002403846153846,1036,913,0.8812741312741312
cifar10,fed_mdbscan_g,2024,30,0.1879,0.0,0.41101816567755833,30,0.2662657981277733,,0,,0.049346644816284285,30,0.1660557184750733,,0,,-0.6367626591650279,30,-0.8816630433883804,-0.19374834166836613,30,-0.23086995817740524,0.0,30,0.0,1709,0,0.0,991,0,0.0
cifar10,fed_mdbscan_g,42,30,0.1682,0.40925925925925927,0.7062128156547599,30,0.661175649406599,0.7399937373434565,30,0.72922340710508,-0.1205340046669269,30,-0.1375140776525077,-0.07456736413544973,30,-0.12983783530751408,-0.5832849931642023,30,-0.9161268589986238,-0.6549059406360551,30,-0.653188149378605,0.7916666666666666,30,0.7662337662337662,1561,122,0.07815502882767457,1139,983,0.8630377524143986
cifar10,fedavg,137,30,0.1616,0.0,0.702956235738061,30,0.531405691765455,,0,,-0.03786829102722877,30,-0.22998809496837094,,0,,-0.658694092302103,30,-0.8910750408991718,-0.6607729044879401,30,-0.6550616546649408,0.0,30,0.0,1664,0,0.0,1036,0,0.0
cifar10,fedavg,2024,30,0.188,0.0,0.41156160452429524,30,0.2662657981277733,,0,,0.050629636018630325,30,0.1660557184750733,,0,,-0.6367626591650279,30,-0.8816630433883804,-0.19374834166836613,30,-0.23086995817740524,0.0,30,0.0,1709,0,0.0,991,0,0.0
cifar10,fedavg,42,30,0.2273,0.0,0.718441481581924,30,0.661175649406599,,0,,-0.08696295266802412,30,-0.1375140776525077,,0,,-0.7007794483894287,30,-0.9161268589986238,-0.6549059406360551,30,-0.653188149378605,0.0,30,0.0,1561,0,0.0,1139,0,0.0
cifar10,flame_hdbscan,137,30,0.1584,0.4881481481481481,0.6869256140191555,30,0.531405691765455,0.7236053166066696,30,0.7236053166066696,-0.05864294285545299,30,-0.22998809496837094,-0.28869535206408126,28,-0.28869535206408126,-0.5953387952750062,30,-0.8910750408991718,-0.6607729044879401,30,-0.6550616546649408,0.8268280632411067,30,0.8241106719367589,1664,313,0.18810096153846154,1036,1005,0.9700772200772201
cifar10,flame_hdbscan,2024,30,0.1791,0.422962962962963,0.2871740358080765,30,0.2662657981277733,0.3009204672242865,30,-0.09570852866318805,0.03282244716068246,30,0.1660557184750733,-0.03176061756428171,30,-0.1300713854222445,-0.5486647512062106,30,-0.8816630433883804,-0.19374834166836613,30,-0.23086995817740524,0.24687747035573127,30,-0.12987012987012986,1709,527,0.30836746635459333,991,615,0.62058526740666
cifar10,flame_hdbscan,42,30,0.1625,0.4874074074074074,0.6995088636553177,30,0.661175649406599,0.6918709588463404,30,0.6915423160132039,-0.03586604262268814,30,-0.1375140776525077,-0.12825378475103916,30,-0.12983783530751408,-0.5479064298338885,30,-0.9161268589986238,-0.6549059406360551,30,-0.653188149378605,0.7814558629776021,30,0.7662337662337662,1561,263,0.16848174247277387,1139,1053,0.9244951712028094
fashion_mnist,fed_mdbscan_g,137,30,0.6616,0.0003703703703703704,0.5414058115548832,30,0.08301762727392764,0.1501626444129918,1,,0.1341127807829861,30,-0.25583876883998924,0.11792170712618034,1,,0.16317985760678919,30,-0.5996898962159125,-0.03518072723881138,30,-0.028555661665662802,0.0,30,0.0,1562,0,0.0,1138,1,0.0008787346221441124
fashion_mnist,fed_mdbscan_g,2024,30,0.5377,0.09888888888888889,0.5266726124300272,30,-0.3032890279395723,0.4047712500574367,23,,0.13789237148370273,30,-0.2447876447876448,0.04325904563487001,23,,-0.014566403514307304,30,-0.6676494432869224,-0.09143743756767597,30,-0.05310984865363252,0.2532608695652174,30,0.0,1615,26,0.01609907120743034,1085,241,0.22211981566820277
fashion_mnist,fed_mdbscan_g,42,30,0.1998,0.38814814814814813,0.6834757568140545,30,-0.4615093289831701,0.7405914172862896,28,,0.1122881233353274,30,-0.03836952956986212,-0.023679287408181333,28,,0.3016636602334074,30,-0.5707982332392705,0.18367752577055496,30,0.23121818414595066,0.779209015622059,30,0.0,1519,113,0.07439104674127715,1181,935,0.7917019475021169
fashion_mnist,fedavg,137,30,0.6659,0.0,0.5414058115548832,30,0.08301762727392764,,0,,0.1341127807829861,30,-0.25583876883998924,,0,,0.16317985760678919,30,-0.5996898962159125,-0.03518072723881138,30,-0.028555661665662802,0.0,30,0.0,1562,0,0.0,1138,0,0.0
fashion_mnist,fedavg,2024,30,0.6511,0.0,0.5547155030105979,30,-0.3032890279395723,,0,,0.1456376540458697,30,-0.2447876447876448,,0,,-0.03372692810399829,30,-0.6676494432869224,-0.09143743756767597,30,-0.05310984865363252,0.0,30,0.0,1615,0,0.0,1085,0,0.0
fashion_mnist,fedavg,42,30,0.5947,0.0,0.6664823740923065,30,-0.4615093289831701,,0,,0.17753424605282278,30,-0.03836952956986212,,0,,0.1282660432021216,30,-0.5707982332392705,0.18367752577055496,30,0.23121818414595066,0.0,30,0.0,1519,0,0.0,1181,0,0.0
fashion_mnist,flame_hdbscan,137,30,0.2947,0.4159259259259259,0.4203332543114996,30,0.08301762727392764,0.4203544389956346,30,0.14589170806187393,0.12292676275274735,30,-0.25583876883998924,0.10613968806934938,30,0.01277525070204612,0.30967819132998,30,-0.5996898962159125,-0.03518072723881138,30,-0.028555661665662802,0.4791666666666667,30,0.45833333333333326,1562,394,0.25224071702944945,1138,729,0.640597539543058
fashion_mnist,flame_hdbscan,2024,30,0.4605,0.47703703703703704,0.13517034032863962,30,-0.3032890279395723,0.07295321353907591,30,-0.008312453253068341,-0.04399618455346009,30,-0.2447876447876448,0.06110143766268587,30,0.0027118799878642825,0.038426715661151495,30,-0.6676494432869224,-0.09143743756767597,30,-0.05310984865363252,0.023762469414643328,30,-0.11904761904761907,1615,726,0.44953560371517026,1085,562,0.5179723502304148
fashion_mnist,flame_hdbscan,42,30,0.1998,0.4711111111111111,0.693960014623981,30,-0.4615093289831701,0.6432766558079328,30,0.004266827337830216,0.14074598934974272,30,-0.03836952956986212,-0.03103489784340242,30,0.08543444353386528,0.28656647236976673,30,-0.5707982332392705,0.18367752577055496,30,0.23121818414595066,0.6561853002070394,30,0.18181818181818177,1519,290,0.19091507570770244,1181,982,0.8314987298899238
fashion_mnist,fltrust_normalized,137,30,0.6864,0.27925925925925926,0.31373475881150603,30,0.08301762727392764,-0.09450907983821588,30,-0.08461491116308766,0.03671168209219269,30,-0.25583876883998924,-0.08249665302334759,29,,-0.3305828011545201,30,-0.5996898962159125,-0.03518072723881138,30,-0.028555661665662802,-0.0581140350877193,30,-0.041666666666666664,1562,537,0.3437900128040973,1138,217,0.19068541300527242
