dataset,seed,arm,method,participants,fpr,accepted_sample_mass,full_first_round_accuracy,floor_n,floor_fpr,floor_median_norm,floor_median_unique_examples,nonfloor_n,nonfloor_fpr,nonfloor_median_norm,nonfloor_median_unique_examples
mnist,42,A,full,90,0.0,1.0,0.1114,44,0.0,0.7100069034572636,20.0,46,0.0,0.7189798645782663,160.0
mnist,42,A,l0,90,0.0,1.0,,44,0.0,0.7100069034572636,20.0,46,0.0,0.7189798645782663,160.0
mnist,42,A,uniform,90,0.0,1.0,,44,0.0,0.7100069034572636,20.0,46,0.0,0.7189798645782663,160.0
mnist,42,B,full,90,0.0,1.0,0.1115,44,0.0,0.7100069022049871,20.0,46,0.0,0.7273654485204537,89.0
mnist,42,B,l0,90,0.0,1.0,,44,0.0,0.7100069022049871,20.0,46,0.0,0.7273654485204537,89.0
mnist,42,B,uniform,90,0.0,1.0,,44,0.0,0.7100069022049871,20.0,46,0.0,0.7273654485204537,89.0
mnist,42,C,full,90,0.0,1.0,0.1112,44,0.0,0.7100069017177346,20.0,46,0.0,0.7245136299061128,20.0
mnist,42,C,l0,90,0.0,1.0,,44,0.0,0.7100069017177346,20.0,46,0.0,0.7245136299061128,20.0
mnist,42,C,uniform,90,0.0,1.0,,44,0.0,0.7100069017177346,20.0,46,0.0,0.7245136299061128,20.0
mnist,137,A,full,90,0.23333333333333328,0.5586002268958897,0.1057,49,0.0,0.6128334509576225,20,41,0.5121951219512195,0.7003446685369191,160
mnist,137,A,l0,90,0.23333333333333328,0.5586002268958897,,49,0.0,0.6128334509576225,20,41,0.5121951219512195,0.7003446685369191,160
mnist,137,A,uniform,90,0.0,1.0,,49,0.0,0.6128334509576225,20,41,0.0,0.7003446685369191,160
mnist,137,B,full,90,0.15555555555555556,0.7258050440701632,0.1073,49,0.0,0.6128334547638029,20,41,0.34146341463414637,0.7023697812062979,91
mnist,137,B,l0,90,0.15555555555555556,0.7258050440701632,,49,0.0,0.6128334547638029,20,41,0.34146341463414637,0.7023697812062979,91
mnist,137,B,uniform,90,0.0,1.0,,49,0.0,0.6128334547638029,20,41,0.0,0.7023697812062979,91
mnist,137,C,full,90,0.05555555555555558,0.8992276812985426,0.1086,49,0.0,0.6128334536218417,20,41,0.12195121951219512,0.7031681598695464,20
mnist,137,C,l0,90,0.05555555555555558,0.8992276812985426,,49,0.0,0.6128334536218417,20,41,0.12195121951219512,0.7031681598695464,20
mnist,137,C,uniform,90,0.0,1.0,,49,0.0,0.6128334536218417,20,41,0.0,0.7031681598695464,20
mnist,2024,A,full,90,0.0,1.0,0.1046,55,0.0,0.6247980686053305,20,35,0.0,0.7062745407361619,160
mnist,2024,A,l0,90,0.0,1.0,,55,0.0,0.6247980686053305,20,35,0.0,0.7062745407361619,160
mnist,2024,A,uniform,90,0.0,1.0,,55,0.0,0.6247980686053305,20,35,0.0,0.7062745407361619,160
mnist,2024,B,full,90,0.0,1.0,0.1047,55,0.0,0.6247980681653605,20,35,0.0,0.7113230614869217,94
mnist,2024,B,l0,90,0.0,1.0,,55,0.0,0.6247980681653605,20,35,0.0,0.7113230614869217,94
mnist,2024,B,uniform,90,0.0,1.0,,55,0.0,0.6247980681653605,20,35,0.0,0.7113230614869217,94
mnist,2024,C,full,90,0.0,1.0,0.1045,55,0.0,0.6247980647241295,20,35,0.0,0.7280334472795505,20
mnist,2024,C,l0,90,0.0,1.0,,55,0.0,0.6247980647241295,20,35,0.0,0.7280334472795505,20
mnist,2024,C,uniform,90,0.0,1.0,,55,0.0,0.6247980647241295,20,35,0.0,0.7280334472795505,20
fashion_mnist,42,A,full,90,0.0,1.0,0.2037,50,0.0,0.78725722024794,20.0,40,0.0,0.7290487158793785,160.0
fashion_mnist,42,A,l0,90,0.0,1.0,,50,0.0,0.78725722024794,20.0,40,0.0,0.7290487158793785,160.0
fashion_mnist,42,A,uniform,90,0.0,1.0,,50,0.0,0.78725722024794,20.0,40,0.0,0.7290487158793785,160.0
fashion_mnist,42,B,full,90,0.0,1.0,0.2036,50,0.0,0.7872572161373383,20.0,40,0.0,0.747050691397322,92.0
fashion_mnist,42,B,l0,90,0.0,1.0,,50,0.0,0.7872572161373383,20.0,40,0.0,0.747050691397322,92.0
fashion_mnist,42,B,uniform,90,0.0,1.0,,50,0.0,0.7872572161373383,20.0,40,0.0,0.747050691397322,92.0
fashion_mnist,42,C,full,90,0.0,1.0,0.2034,50,0.0,0.7872572199658326,20.0,40,0.0,0.7445817438402127,20.0
fashion_mnist,42,C,l0,90,0.0,1.0,,50,0.0,0.7872572199658326,20.0,40,0.0,0.7445817438402127,20.0
fashion_mnist,42,C,uniform,90,0.0,1.0,,50,0.0,0.7872572199658326,20.0,40,0.0,0.7445817438402127,20.0
fashion_mnist,137,A,full,90,0.0,1.0,0.2394,53,0.0,0.7006447177025356,20,37,0.0,0.7084315416333954,160
fashion_mnist,137,A,l0,90,0.0,1.0,,53,0.0,0.7006447177025356,20,37,0.0,0.7084315416333954,160
fashion_mnist,137,A,uniform,90,0.0,1.0,,53,0.0,0.7006447177025356,20,37,0.0,0.7084315416333954,160
fashion_mnist,137,B,full,90,0.0,1.0,0.2389,53,0.0,0.7006447116085375,20,37,0.0,0.7122084912438661,94
