dataset,seed,method,variant,ratio,trend_auc,final_accuracy,clean_accuracy,attack_rounds,constraint_violations,gamma_clamped_rounds,realized_over_target_median,damage
mnist,42,fedavg,minmax_budget,,1.0,0.1339,0.7689,30,0,0,,0.635
mnist,42,fedavg,minmax_flat,1.0,0.8048780487804879,0.2041,0.7689,30,0,1,1.0,0.5648
mnist,42,fedavg,minmax_flat,2.0,1.0,0.1339,0.7689,30,0,30,0.6779,0.635
mnist,42,fed_mdbscan_g,minmax_budget,,1.0,0.1339,0.2795,30,0,0,,0.14560000000000003
mnist,42,fed_mdbscan_g,minmax_flat,1.0,0.8048780487804879,0.2041,0.2795,30,0,1,1.0,0.07540000000000002
mnist,42,fed_mdbscan_g,minmax_flat,2.0,1.0,0.1339,0.2795,30,0,30,0.6779,0.14560000000000003
mnist,137,fedavg,minmax_budget,,0.7804878048780488,0.1449,0.6502,30,0,0,,0.5053
mnist,137,fedavg,minmax_flat,1.0,0.5121951219512195,0.3717,0.6502,30,0,1,1.0,0.2785
mnist,137,fedavg,minmax_flat,2.0,0.7804878048780488,0.1449,0.6502,30,0,30,0.8448,0.5053
mnist,137,fed_mdbscan_g,minmax_budget,,0.7804878048780488,0.1449,0.2135,30,0,0,,0.0686
mnist,137,fed_mdbscan_g,minmax_flat,1.0,0.5,0.2118,0.2135,30,0,7,1.0,0.001700000000000007
mnist,137,fed_mdbscan_g,minmax_flat,2.0,0.7804878048780488,0.1449,0.2135,30,0,30,0.8448,0.0686
mnist,2024,fedavg,minmax_budget,,1.0,0.1407,0.7489,30,0,0,,0.6082000000000001
mnist,2024,fedavg,minmax_flat,1.0,0.5975609756097561,0.2099,0.7489,30,0,1,1.0,0.539
mnist,2024,fedavg,minmax_flat,2.0,1.0,0.1407,0.7489,30,0,30,0.6169,0.6082000000000001
mnist,2024,fed_mdbscan_g,minmax_budget,,1.0,0.1407,0.4986,30,0,0,,0.3579
mnist,2024,fed_mdbscan_g,minmax_flat,1.0,0.5975609756097561,0.2099,0.4986,30,0,1,1.0,0.28869999999999996
mnist,2024,fed_mdbscan_g,minmax_flat,2.0,1.0,0.1407,0.4986,30,0,30,0.6169,0.3579
fashion_mnist,42,fedavg,minmax_budget,,0.9878048780487805,0.2062,0.6061,30,0,0,,0.3999
fashion_mnist,42,fedavg,minmax_flat,1.0,0.35365853658536583,0.3234,0.6061,30,0,1,1.0,0.28269999999999995
fashion_mnist,42,fedavg,minmax_flat,2.0,0.9878048780487805,0.2062,0.6061,30,0,30,0.6617,0.3999
fashion_mnist,42,fed_mdbscan_g,minmax_budget,,0.9878048780487805,0.2062,0.1998,30,0,0,,-0.006399999999999989
fashion_mnist,42,fed_mdbscan_g,minmax_flat,1.0,0.5121951219512195,0.1992,0.1998,30,0,1,1.0,0.0006000000000000172
fashion_mnist,42,fed_mdbscan_g,minmax_flat,2.0,0.9878048780487805,0.2062,0.1998,30,0,30,0.6617,-0.006399999999999989
fashion_mnist,137,fedavg,minmax_budget,,1.0,0.2994,0.6887,30,0,0,,0.3893
fashion_mnist,137,fedavg,minmax_flat,1.0,0.7195121951219512,0.3201,0.6887,30,0,3,1.0,0.3686
fashion_mnist,137,fedavg,minmax_flat,2.0,1.0,0.2994,0.6887,30,0,30,0.557,0.3893
fashion_mnist,137,fed_mdbscan_g,minmax_budget,,1.0,0.2994,0.6887,30,0,0,,0.3893
fashion_mnist,137,fed_mdbscan_g,minmax_flat,1.0,0.7195121951219512,0.3201,0.6887,30,0,3,1.0,0.3686
fashion_mnist,137,fed_mdbscan_g,minmax_flat,2.0,1.0,0.2994,0.6887,30,0,30,0.557,0.3893
fashion_mnist,2024,fedavg,minmax_budget,,0.9512195121951219,0.3154,0.6473,30,0,0,,0.3319
fashion_mnist,2024,fedavg,minmax_flat,1.0,0.573170731707317,0.3407,0.6473,30,0,2,1.0,0.3066
fashion_mnist,2024,fedavg,minmax_flat,2.0,0.9512195121951219,0.3154,0.6473,30,0,30,0.617,0.3319
fashion_mnist,2024,fed_mdbscan_g,minmax_budget,,0.9512195121951219,0.3154,0.5358,30,0,0,,0.22040000000000004
fashion_mnist,2024,fed_mdbscan_g,minmax_flat,1.0,0.573170731707317,0.3407,0.5358,30,0,2,1.0,0.19510000000000005
fashion_mnist,2024,fed_mdbscan_g,minmax_flat,2.0,0.9512195121951219,0.3154,0.5358,30,0,30,0.617,0.22040000000000004
