method,dataset,scenario,seed,pair_matched,attackers,arm,clients,marked,auc_rel_mean,rho_rel_mean_samples,rho_rel_mean_steps,auc_lag1,oriented_lag1,rho_lag1_samples,rho_lag1_steps,auc_rel_cv,twosided_rel_cv,rho_rel_cv_samples,rho_rel_cv_steps,auc_trend,twosided_trend,rho_trend_samples,rho_trend_steps
fedavg,mnist,minmax,42,True,18,attacked,100,18,0.5853658536585366,0.6213618933425861,,0.2073170731707317,0.7926829268292683,-0.00615638228027696,,0.573170731707317,0.07317073170731703,-0.620857056882968,,1.0,0.5,0.03761382142661442,
fedavg,mnist,minmax,42,True,18,placebo,100,18,0.42208672086720866,0.7163103027100103,,0.6558265582655827,0.34417344173441733,-0.0766947676583299,,0.5907859078590786,0.09078590785907859,0.21165585513755092,,0.3421409214092141,0.1578590785907859,0.30721052773061336,
fedavg,mnist,minmax,137,True,18,attacked,100,18,0.7195121951219512,0.6119351512281915,,0.926829268292683,0.07317073170731707,-0.1270005395936047,,0.573170731707317,0.07317073170731703,-0.5584600058167748,,0.7804878048780488,0.2804878048780488,0.5249932279035772,
fedavg,mnist,minmax,137,True,18,placebo,100,18,0.48644986449864497,0.7061522874057342,,0.6056910569105691,0.3943089430894309,-0.5325666777156142,,0.5304878048780488,0.030487804878048808,0.5034352771401915,,0.5040650406504065,0.004065040650406471,0.29854247290347796,
fedavg,mnist,minmax,2024,True,18,attacked,100,18,0.6219512195121951,0.6489231317254293,,0.6219512195121951,0.3780487804878049,-0.45468368133466003,,0.5365853658536586,0.03658536585365857,-0.573865107771253,,1.0,0.5,0.18562142947060525,
fedavg,mnist,minmax,2024,True,18,placebo,100,18,0.3489159891598916,0.6920667097621935,,0.40853658536585363,0.5914634146341463,-0.2114192041805526,,0.592140921409214,0.09214092140921404,-0.15556220735521428,,0.5284552845528455,0.028455284552845517,0.21847369112595566,
fedavg,mnist,gaussian,42,True,18,attacked,100,18,1.0,0.37056934874531955,,1.0,0.0,0.2502196264669238,,1.0,0.5,-0.5122899307488087,,0.0,0.5,0.481428896232988,
fedavg,mnist,gaussian,42,True,18,placebo,100,18,0.42208672086720866,0.7163103027100103,,0.6558265582655827,0.34417344173441733,-0.0766947676583299,,0.5907859078590786,0.09078590785907859,0.21165585513755092,,0.3421409214092141,0.1578590785907859,0.30721052773061336,
fedavg,mnist,gaussian,137,True,18,attacked,100,18,1.0,0.38008943768019005,,0.9654471544715447,0.034552845528455285,0.28230059187871565,,1.0,0.5,-0.40635263774523755,,0.0,0.5,0.48537052082664467,
fedavg,mnist,gaussian,137,True,18,placebo,100,18,0.48644986449864497,0.7061522874057342,,0.6056910569105691,0.3943089430894309,-0.5325666777156142,,0.5304878048780488,0.030487804878048808,0.5034352771401915,,0.5040650406504065,0.004065040650406471,0.29854247290347796,
fedavg,mnist,gaussian,2024,True,18,attacked,100,18,1.0,0.41765524524282244,,0.8157181571815718,0.1842818428184282,0.06210406768474915,,0.9878048780487805,0.4878048780487805,-0.440057280122881,,0.0975609756097561,0.4024390243902439,0.37439047603886627,
fedavg,mnist,gaussian,2024,True,18,placebo,100,18,0.3489159891598916,0.6920667097621935,,0.40853658536585363,0.5914634146341463,-0.2114192041805526,,0.592140921409214,0.09214092140921404,-0.15556220735521428,,0.5284552845528455,0.028455284552845517,0.21847369112595566,
fedavg,mnist,backdoor,42,True,18,attacked,100,18,0.3319783197831978,-0.07076183594901876,,0.43021680216802166,0.5697831978319783,-0.20396957569955396,,0.6476964769647696,0.14769647696476962,0.26625700992689644,,0.44037940379403795,0.05962059620596205,-0.01137161477666814,
fedavg,mnist,backdoor,42,True,18,placebo,100,18,0.43224932249322495,-0.07539447989005019,,0.5237127371273713,0.47628726287262874,-0.18872679932781689,,0.5975609756097561,0.09756097560975607,0.28268129291472416,,0.3597560975609756,0.1402439024390244,-0.03649118177146119,
fedavg,mnist,backdoor,137,True,18,attacked,100,18,0.37466124661246614,-0.12145999322796676,,0.5399728997289973,0.4600271002710027,-0.2514695704463014,,0.6050135501355014,0.1050135501355014,0.15558329583650568,,0.6673441734417345,0.16734417344173447,0.008053723549183824,
fedavg,mnist,backdoor,137,True,18,placebo,100,18,0.5067750677506775,-0.0922217360509,,0.5020325203252033,0.49796747967479676,-0.2401713982401912,,0.4505420054200542,0.04945799457994582,0.2744927432310871,,0.5304878048780488,0.030487804878048808,-0.0029046216079023626,
fedavg,mnist,backdoor,2024,True,18,attacked,100,18,0.38482384823848237,0.019167009251594196,,0.6585365853658537,0.34146341463414637,-0.2939261468826186,,0.6836043360433605,0.18360433604336046,0.13490718064655263,,0.6734417344173442,0.17344173441734423,-0.027034244420298014,
fedavg,mnist,backdoor,2024,True,18,placebo,100,18,0.5176151761517616,0.02249753214910039,,0.6246612466124661,0.37533875338753386,-0.27147825130807823,,0.5630081300813008,0.0630081300813008,0.20666644696795633,,0.5196476964769647,0.019647696476964738,-0.007327150374513623,
fedavg,fashion_mnist,minmax,42,True,18,attacked,100,18,0.7926829268292683,0.5277508349455384,,0.8292682926829268,0.17073170731707318,-0.08711310299429616,,0.9634146341463414,0.46341463414634143,-0.3427280143271945,,0.9878048780487805,0.4878048780487805,0.4030016653929236,
fedavg,fashion_mnist,minmax,42,True,18,placebo,100,18,0.462059620596206,0.6760915125897413,,0.5277777777777778,0.4722222222222222,-0.2176403754824477,,0.48644986449864497,0.013550135501355032,0.3018891155119097,,0.513550135501355,0.013550135501354976,0.17946805649827977,
fedavg,fashion_mnist,minmax,137,True,18,attacked,100,18,0.6707317073170732,0.5480281348503009,,0.4146341463414634,0.5853658536585366,-0.513472170253521,,0.573170731707317,0.07317073170731703,-0.47883622049417834,,1.0,0.5,0.10857428071669097,
fedavg,fashion_mnist,minmax,137,True,18,placebo,100,18,0.6388888888888888,0.5920003492153277,,0.5508130081300813,0.4491869918699187,0.424023395066316,,0.35636856368563685,0.14363143631436315,-0.052918324780726604,,0.6144986449864499,0.1144986449864499,-0.01514918670954786,
fedavg,fashion_mnist,minmax,2024,True,18,attacked,100,18,0.8414634146341463,0.4621694473765294,,0.6951219512195121,0.3048780487804878,-0.23122065587866955,,1.0,0.5,0.18614554154041746,,0.9512195121951219,0.4512195121951219,0.4028282496552871,
fedavg,fashion_mnist,minmax,2024,True,18,placebo,100,18,0.505420054200542,0.5655121582203542,,0.6531165311653117,0.34688346883468835,0.051182094111183705,,0.5785907859078591,0.07859078590785906,0.2994473892158325,,0.5928184281842819,0.09281842818428188,0.22263212326065424,
