method,scenario,arm,runs,rel_mean_auc_median,rel_mean_auc_min,rel_mean_auc_max,lag1_auc_median,lag1_auc_min,lag1_auc_max,rel_cv_auc_median,rel_cv_auc_min,rel_cv_auc_max,trend_auc_median,trend_auc_min,trend_auc_max
fedavg,minmax,attacked,6,0.6951,0.5854,0.8415,0.3415,0.0732,0.7927,0.5732,0.5366,1.0,0.9939,0.7805,1.0
fedavg,minmax,placebo,6,0.4743,0.3489,0.6389,0.4217,0.3442,0.5915,0.5545,0.3564,0.5921,0.521,0.3421,0.6145
fedavg,gaussian,attacked,6,1.0,1.0,1.0,0.0356,0.0,0.1843,1.0,0.9634,1.0,0.0261,0.0,0.1707
fedavg,gaussian,placebo,6,0.4743,0.3489,0.6389,0.4217,0.3442,0.5915,0.5545,0.3564,0.5921,0.521,0.3421,0.6145
fedavg,backdoor,attacked,6,0.3797,0.332,0.4776,0.4787,0.3415,0.5698,0.6155,0.4275,0.6836,0.6704,0.4404,0.71
fedavg,backdoor,placebo,6,0.5122,0.4322,0.6077,0.4871,0.3753,0.5637,0.5244,0.4505,0.6043,0.5447,0.3598,0.6199
fed_mdbscan_g,minmax,attacked,6,0.6951,0.5854,0.8415,0.3415,0.0732,0.7927,0.5732,0.5366,1.0,0.9939,0.7805,1.0
fed_mdbscan_g,minmax,placebo,6,0.4353,0.3455,0.6389,0.4571,0.4146,0.4905,0.5149,0.3564,0.6064,0.4915,0.3543,0.6145
fed_mdbscan_g,gaussian,attacked,6,1.0,1.0,1.0,0.0491,0.0,0.3171,0.5125,0.2683,0.8293,0.9878,0.7439,1.0
fed_mdbscan_g,gaussian,placebo,6,0.4353,0.3455,0.6389,0.4571,0.4146,0.4905,0.5149,0.3564,0.6064,0.4915,0.3543,0.6145
fed_mdbscan_g,backdoor,attacked,6,0.3797,0.332,0.4776,0.4787,0.3415,0.5698,0.6155,0.4275,0.6836,0.6704,0.4404,0.71
fed_mdbscan_g,backdoor,placebo,6,0.5122,0.4322,0.6077,0.4871,0.3753,0.5637,0.5244,0.4505,0.6043,0.5447,0.3598,0.6199
