dataset,scenario,mode,alpha,threshold,tp,fp,honest_n,attacker_n,floor_fp,floor_n,above_fp,above_n,fpr,tpr
fashion_mnist,cut_backdoor,attacked,0.0,0.95,0,4,648,162,0,29,4,619,0.006172839506172839,0.0
fashion_mnist,cut_backdoor,attacked,0.0,0.99,0,0,648,162,0,29,0,619,0.0,0.0
fashion_mnist,cut_backdoor,attacked,0.0,0.999,0,0,648,162,0,29,0,619,0.0,0.0
fashion_mnist,cut_backdoor,attacked,0.0,0.9999,0,0,648,162,0,29,0,619,0.0,0.0
fashion_mnist,cut_backdoor,clean,0.0,0.95,0,13,810,0,0,35,13,775,0.016049382716049384,
fashion_mnist,cut_backdoor,clean,0.0,0.99,0,0,810,0,0,35,0,775,0.0,
fashion_mnist,cut_backdoor,clean,0.0,0.999,0,0,810,0,0,35,0,775,0.0,
fashion_mnist,cut_backdoor,clean,0.0,0.9999,0,0,810,0,0,35,0,775,0.0,
fashion_mnist,cut_minmax,attacked,0.0,0.95,162,355,648,162,278,379,77,269,0.5478395061728395,1.0
fashion_mnist,cut_minmax,attacked,0.0,0.99,162,5,648,162,0,379,5,269,0.007716049382716049,1.0
fashion_mnist,cut_minmax,attacked,0.0,0.999,162,0,648,162,0,379,0,269,0.0,1.0
fashion_mnist,cut_minmax,attacked,0.0,0.9999,162,0,648,162,0,379,0,269,0.0,1.0
fashion_mnist,cut_minmax,attacked,1e-06,0.95,162,355,648,162,278,379,77,269,0.5478395061728395,1.0
fashion_mnist,cut_minmax,attacked,1e-06,0.99,162,5,648,162,0,379,5,269,0.007716049382716049,1.0
fashion_mnist,cut_minmax,attacked,1e-06,0.999,162,0,648,162,0,379,0,269,0.0,1.0
fashion_mnist,cut_minmax,attacked,1e-06,0.9999,162,0,648,162,0,379,0,269,0.0,1.0
fashion_mnist,cut_minmax,attacked,0.0001,0.95,162,355,648,162,278,379,77,269,0.5478395061728395,1.0
fashion_mnist,cut_minmax,attacked,0.0001,0.99,162,5,648,162,0,379,5,269,0.007716049382716049,1.0
fashion_mnist,cut_minmax,attacked,0.0001,0.999,162,0,648,162,0,379,0,269,0.0,1.0
fashion_mnist,cut_minmax,attacked,0.0001,0.9999,162,0,648,162,0,379,0,269,0.0,1.0
fashion_mnist,cut_minmax,attacked,0.01,0.95,162,355,648,162,278,379,77,269,0.5478395061728395,1.0
fashion_mnist,cut_minmax,attacked,0.01,0.99,162,5,648,162,0,379,5,269,0.007716049382716049,1.0
fashion_mnist,cut_minmax,attacked,0.01,0.999,162,0,648,162,0,379,0,269,0.0,1.0
fashion_mnist,cut_minmax,attacked,0.01,0.9999,162,0,648,162,0,379,0,269,0.0,1.0
fashion_mnist,cut_minmax,clean,0.0,0.95,0,294,810,0,198,472,96,338,0.362962962962963,
fashion_mnist,cut_minmax,clean,0.0,0.99,0,9,810,0,0,472,9,338,0.011111111111111112,
fashion_mnist,cut_minmax,clean,0.0,0.999,0,0,810,0,0,472,0,338,0.0,
fashion_mnist,cut_minmax,clean,0.0,0.9999,0,0,810,0,0,472,0,338,0.0,
mnist,cut_backdoor,attacked,0.0,0.95,0,9,648,162,0,25,9,623,0.013888888888888888,0.0
mnist,cut_backdoor,attacked,0.0,0.99,0,0,648,162,0,25,0,623,0.0,0.0
mnist,cut_backdoor,attacked,0.0,0.999,0,0,648,162,0,25,0,623,0.0,0.0
mnist,cut_backdoor,attacked,0.0,0.9999,0,0,648,162,0,25,0,623,0.0,0.0
mnist,cut_backdoor,clean,0.0,0.95,0,9,810,0,0,40,9,770,0.011111111111111112,
mnist,cut_backdoor,clean,0.0,0.99,0,0,810,0,0,40,0,770,0.0,
mnist,cut_backdoor,clean,0.0,0.999,0,0,810,0,0,40,0,770,0.0,
mnist,cut_backdoor,clean,0.0,0.9999,0,0,810,0,0,40,0,770,0.0,
mnist,cut_minmax,attacked,0.0,0.95,162,36,648,162,0,350,36,298,0.05555555555555555,1.0
mnist,cut_minmax,attacked,0.0,0.99,162,0,648,162,0,350,0,298,0.0,1.0
mnist,cut_minmax,attacked,0.0,0.999,162,0,648,162,0,350,0,298,0.0,1.0
mnist,cut_minmax,attacked,0.0,0.9999,162,0,648,162,0,350,0,298,0.0,1.0
mnist,cut_minmax,attacked,1e-06,0.95,162,36,648,162,0,350,36,298,0.05555555555555555,1.0
mnist,cut_minmax,attacked,1e-06,0.99,162,0,648,162,0,350,0,298,0.0,1.0
mnist,cut_minmax,attacked,1e-06,0.999,162,0,648,162,0,350,0,298,0.0,1.0
mnist,cut_minmax,attacked,1e-06,0.9999,162,0,648,162,0,350,0,298,0.0,1.0
mnist,cut_minmax,attacked,0.0001,0.95,162,36,648,162,0,350,36,298,0.05555555555555555,1.0
mnist,cut_minmax,attacked,0.0001,0.99,162,0,648,162,0,350,0,298,0.0,1.0
mnist,cut_minmax,attacked,0.0001,0.999,162,0,648,162,0,350,0,298,0.0,1.0
mnist,cut_minmax,attacked,0.0001,0.9999,162,0,648,162,0,350,0,298,0.0,1.0
mnist,cut_minmax,attacked,0.01,0.95,162,36,648,162,0,350,36,298,0.05555555555555555,1.0
mnist,cut_minmax,attacked,0.01,0.99,162,0,648,162,0,350,0,298,0.0,1.0
mnist,cut_minmax,attacked,0.01,0.999,162,0,648,162,0,350,0,298,0.0,1.0
mnist,cut_minmax,attacked,0.01,0.9999,162,0,648,162,0,350,0,298,0.0,1.0
mnist,cut_minmax,clean,0.0,0.95,0,85,810,0,2,464,83,346,0.10493827160493827,
mnist,cut_minmax,clean,0.0,0.99,0,0,810,0,0,464,0,346,0.0,
mnist,cut_minmax,clean,0.0,0.999,0,0,810,0,0,464,0,346,0.0,
mnist,cut_minmax,clean,0.0,0.9999,0,0,810,0,0,464,0,346,0.0,
