reference,dataset,scenario,mode,seed,round,alpha,threshold,tp,fp,honest_n,attacker_n,floor_fp,floor_n,above_fp,above_n
0,fashion_mnist,cut_minmax,attacked,137,0,0.0,0.95,18,40,72,18,30,44,10,28
0,fashion_mnist,cut_minmax,attacked,137,0,0.0,0.99,18,4,72,18,0,44,4,28
0,fashion_mnist,cut_minmax,attacked,137,0,0.0,0.999,18,0,72,18,0,44,0,28
0,fashion_mnist,cut_minmax,attacked,137,0,0.0,0.9999,18,0,72,18,0,44,0,28
0,fashion_mnist,cut_minmax,attacked,137,0,1e-06,0.95,18,40,72,18,30,44,10,28
0,fashion_mnist,cut_minmax,attacked,137,0,1e-06,0.99,18,4,72,18,0,44,4,28
0,fashion_mnist,cut_minmax,attacked,137,0,1e-06,0.999,18,0,72,18,0,44,0,28
0,fashion_mnist,cut_minmax,attacked,137,0,1e-06,0.9999,18,0,72,18,0,44,0,28
0,fashion_mnist,cut_minmax,attacked,137,0,0.0001,0.95,18,40,72,18,30,44,10,28
0,fashion_mnist,cut_minmax,attacked,137,0,0.0001,0.99,18,4,72,18,0,44,4,28
0,fashion_mnist,cut_minmax,attacked,137,0,0.0001,0.999,18,0,72,18,0,44,0,28
0,fashion_mnist,cut_minmax,attacked,137,0,0.0001,0.9999,18,0,72,18,0,44,0,28
0,fashion_mnist,cut_minmax,attacked,137,0,0.01,0.95,18,40,72,18,30,44,10,28
0,fashion_mnist,cut_minmax,attacked,137,0,0.01,0.99,18,4,72,18,0,44,4,28
0,fashion_mnist,cut_minmax,attacked,137,0,0.01,0.999,18,0,72,18,0,44,0,28
0,fashion_mnist,cut_minmax,attacked,137,0,0.01,0.9999,18,0,72,18,0,44,0,28
0,fashion_mnist,cut_minmax,attacked,137,9,0.0,0.95,18,31,72,18,22,43,9,29
0,fashion_mnist,cut_minmax,attacked,137,9,0.0,0.99,18,1,72,18,0,43,1,29
0,fashion_mnist,cut_minmax,attacked,137,9,0.0,0.999,18,0,72,18,0,43,0,29
0,fashion_mnist,cut_minmax,attacked,137,9,0.0,0.9999,18,0,72,18,0,43,0,29
0,fashion_mnist,cut_minmax,attacked,137,9,1e-06,0.95,18,31,72,18,22,43,9,29
0,fashion_mnist,cut_minmax,attacked,137,9,1e-06,0.99,18,1,72,18,0,43,1,29
0,fashion_mnist,cut_minmax,attacked,137,9,1e-06,0.999,18,0,72,18,0,43,0,29
