ref,round,root,variant,clients,cosine_max_gap,trust_max_gap,weight_max_gap,scaled_norm_max_gap,aggregate_max_gap,aggregate_relative_gap,aggregate_cosine,zero_trust_clients,clients_the_local_rule_removes
ref_00,0,cohort_mean,fltrust_normalized,90,1.1433100457480805e-06,1.1433100457480805e-06,3.1045729334544525e-08,1.2692303874572985e-09,2.526576746431086e-09,4.373413451722872e-08,0.9999999999999994,22,22
ref_00,0,cohort_mean,fltrust,90,1.1433100457480805e-06,1.1433100457480805e-06,3.1045729334544525e-08,0.14695856898629334,0.0005985053831989856,0.013952309079842459,0.9999854524224724,22,22
ref_00,0,small,fltrust_normalized,90,1.1451107768678526e-06,1.1451107768678526e-06,3.104572932066674e-08,4.866930192193308e-10,9.688289753784218e-10,4.373413430793022e-08,0.9999999999999996,22,22
ref_00,0,small,fltrust,90,1.1451107768678526e-06,1.1451107768678526e-06,3.104572932066674e-08,4.866930192193308e-10,9.688289753784218e-10,4.373413430793022e-08,0.9999999999999996,22,22
ref_00,0,large,fltrust_normalized,90,1.1426504556988348e-06,1.1426504556988348e-06,3.104572932066674e-08,3.0877425061248687e-09,6.146573333642991e-09,4.37341344030344e-08,0.9999999999999993,22,22
ref_00,0,large,fltrust,90,1.1426504556988348e-06,1.1426504556988348e-06,3.104572932066674e-08,1.1395877624376713,0.08389239458982824,0.5864653495341987,0.9999027127342797,22,22
ref_00,0,unrelated,fltrust_normalized,90,3.6158739049815813e-09,2.7833287155089315e-09,3.061090798200938e-08,1.1344046813022146e-09,3.303847313784747e-09,7.933537228673943e-08,0.9999999999999967,45,45
ref_00,0,unrelated,fltrust,90,3.6158739049815813e-09,2.7833287155089315e-09,3.061090798200938e-08,0.0820837671508351,0.00107015056833306,0.018457717802992973,0.9999774495341194,45,45
ref_00,9,cohort_mean,fltrust_normalized,90,5.3396344223966e-07,5.3396344223966e-07,2.4409276900075327e-08,1.943845417962109e-09,6.957319421962982e-09,1.6597290883259348e-07,0.9999999999999879,20,20
ref_00,9,cohort_mean,fltrust,90,5.3396344223966e-07,5.3396344223966e-07,2.4409276900075327e-08,0.29990717648677556,0.019013471927778514,0.4130590234272057,0.9306642503415857,20,20
ref_00,9,small,fltrust_normalized,90,5.324696345510027e-07,5.324696345510027e-07,2.4409276908748945e-08,4.999999858590343e-10,1.7895762875058674e-09,1.659729086553441e-07,0.9999999999999877,20,20
ref_00,9,small,fltrust,90,5.324696345510027e-07,5.324696345510027e-07,2.4409276908748945e-08,4.999999858590343e-10,1.7895762875058674e-09,1.659729086553441e-07,0.9999999999999877,20,20
ref_00,9,large,fltrust_normalized,90,5.342806376762432e-07,5.342806376762432e-07,2.4409276910483668e-08,5.025098781530346e-09,1.7985594957803386e-08,1.6597290873297047e-07,0.9999999999999878,20,20
ref_00,9,large,fltrust,90,5.342806376762432e-07,5.342806376762432e-07,2.4409276910483668e-08,1.2789763488181563,0.06391271257845625,0.7392997894748883,0.9261934750870023,20,20
ref_00,9,unrelated,fltrust_normalized,90,5.047168993507767e-09,4.575500283342249e-09,4.4748863340521305e-08,1.9438455289844114e-09,2.6551413567776905e-09,4.2868652818784326e-08,0.9999999999999998,50,50
ref_00,9,unrelated,fltrust,90,5.047168993507767e-09,4.575500283342249e-09,4.4748863340521305e-08,0.29990717648677556,0.038305422900050054,0.4432660696573363,0.999071816071344,50,50
