reference,dataset,scenario,mode,seed,round,cutoff,partition_executed,attackers,attackers_in_executed_partitions,attackers_low,attackers_clustered,clusters,clusters_with_attackers,rejected_clusters
0,fashion_mnist,scenario_cut_minmax,cutoff_attacked,137,0,True,True,18,18,0,0,0,0,0
0,fashion_mnist,scenario_cut_minmax,cutoff_attacked,137,0,False,True,18,18,0,0,2,0,0
0,fashion_mnist,scenario_cut_minmax,cutoff_attacked,137,9,True,True,18,18,0,0,0,0,0
0,fashion_mnist,scenario_cut_minmax,cutoff_attacked,137,9,False,True,18,18,0,0,1,0,0
0,fashion_mnist,scenario_cut_minmax,cutoff_attacked,137,29,True,True,18,18,0,0,0,0,0
0,fashion_mnist,scenario_cut_minmax,cutoff_attacked,137,29,False,True,18,18,0,0,1,0,0
1,fashion_mnist,scenario_cut_minmax,cutoff_attacked,2024,0,True,True,18,18,0,0,0,0,0
1,fashion_mnist,scenario_cut_minmax,cutoff_attacked,2024,0,False,True,18,18,0,0,1,0,0
1,fashion_mnist,scenario_cut_minmax,cutoff_attacked,2024,9,True,True,18,18,0,0,0,0,0
1,fashion_mnist,scenario_cut_minmax,cutoff_attacked,2024,9,False,True,18,18,0,0,1,0,0
1,fashion_mnist,scenario_cut_minmax,cutoff_attacked,2024,29,True,True,18,18,0,0,0,0,0
1,fashion_mnist,scenario_cut_minmax,cutoff_attacked,2024,29,False,True,18,18,0,0,1,0,0
2,fashion_mnist,scenario_cut_minmax,cutoff_attacked,42,0,True,True,18,18,0,0,0,0,0
2,fashion_mnist,scenario_cut_minmax,cutoff_attacked,42,0,False,True,18,18,0,0,3,0,0
2,fashion_mnist,scenario_cut_minmax,cutoff_attacked,42,9,True,True,18,18,0,0,0,0,0
2,fashion_mnist,scenario_cut_minmax,cutoff_attacked,42,9,False,True,18,18,0,0,1,0,0
2,fashion_mnist,scenario_cut_minmax,cutoff_attacked,42,29,True,True,18,18,0,0,0,0,0
2,fashion_mnist,scenario_cut_minmax,cutoff_attacked,42,29,False,True,18,18,0,0,1,0,0
3,mnist,scenario_cut_minmax,cutoff_attacked,137,0,True,True,18,18,0,0,0,0,0
3,mnist,scenario_cut_minmax,cutoff_attacked,137,0,False,True,18,18,0,0,1,0,0
3,mnist,scenario_cut_minmax,cutoff_attacked,137,9,True,True,18,18,0,0,0,0,0
3,mnist,scenario_cut_minmax,cutoff_attacked,137,9,False,True,18,18,0,0,1,0,0
3,mnist,scenario_cut_minmax,cutoff_attacked,137,29,True,True,18,18,0,0,0,0,0
