dataset,seed,method,ratio,auc,budget_auc,damage,budget_damage,paired_damage_fraction
fashion_mnist,137,fed_mdbscan_g,1.0,0.7195121951219512,1.0,0.3686,0.3893,0.9468276393526843
fashion_mnist,137,fedavg,1.0,0.7195121951219512,1.0,0.3686,0.3893,0.9468276393526843
fashion_mnist,137,fed_mdbscan_g,2.0,1.0,1.0,0.3893,0.3893,1.0
fashion_mnist,137,fedavg,2.0,1.0,1.0,0.3893,0.3893,1.0
fashion_mnist,2024,fed_mdbscan_g,1.0,0.5731707317073171,0.9512195121951219,0.19510000000000005,0.22040000000000004,0.8852087114337569
fashion_mnist,2024,fedavg,1.0,0.5731707317073171,0.9512195121951219,0.3066,0.3319,0.923772220548358
fashion_mnist,2024,fed_mdbscan_g,2.0,0.9512195121951219,0.9512195121951219,0.22040000000000004,0.22040000000000004,1.0
fashion_mnist,2024,fedavg,2.0,0.9512195121951219,0.9512195121951219,0.3319,0.3319,1.0
fashion_mnist,42,fed_mdbscan_g,1.0,0.5121951219512195,0.9878048780487805,0.0006000000000000172,-0.006399999999999989,-0.09375000000000284
fashion_mnist,42,fedavg,1.0,0.35365853658536583,0.9878048780487805,0.28269999999999995,0.3999,0.7069267316829206
fashion_mnist,42,fed_mdbscan_g,2.0,0.9878048780487805,0.9878048780487805,-0.006399999999999989,-0.006399999999999989,1.0
fashion_mnist,42,fedavg,2.0,0.9878048780487805,0.9878048780487805,0.3999,0.3999,1.0
mnist,137,fed_mdbscan_g,1.0,0.5,0.7804878048780488,0.001700000000000007,0.0686,0.024781341107871824
mnist,137,fedavg,1.0,0.5121951219512195,0.7804878048780488,0.2785,0.5053,0.5511577280823274
mnist,137,fed_mdbscan_g,2.0,0.7804878048780488,0.7804878048780488,0.0686,0.0686,1.0
mnist,137,fedavg,2.0,0.7804878048780488,0.7804878048780488,0.5053,0.5053,1.0
mnist,2024,fed_mdbscan_g,1.0,0.5975609756097561,1.0,0.28869999999999996,0.3579,0.8066499022073204
mnist,2024,fedavg,1.0,0.5975609756097561,1.0,0.539,0.6082000000000001,0.8862216376192041
mnist,2024,fed_mdbscan_g,2.0,1.0,1.0,0.3579,0.3579,1.0
mnist,2024,fedavg,2.0,1.0,1.0,0.6082000000000001,0.6082000000000001,1.0
mnist,42,fed_mdbscan_g,1.0,0.8048780487804879,1.0,0.07540000000000002,0.14560000000000003,0.5178571428571429
mnist,42,fedavg,1.0,0.8048780487804879,1.0,0.5648,0.635,0.8894488188976377
mnist,42,fed_mdbscan_g,2.0,1.0,1.0,0.14560000000000003,0.14560000000000003,1.0
mnist,42,fedavg,2.0,1.0,1.0,0.635,0.635,1.0
