ref,round,honest_max_abs_gap,theta0_attacker_gap,attackers
ref_00,0,2.0539125955565396e-15,2.2145385525362826e-10,18
ref_00,9,2.1094237467877974e-15,2.3468632592837935e-10,18
ref_00,29,2.4424906541753444e-15,5.653582046960537e-10,18
ref_01,0,1.8318679906315083e-15,1.53640544731104e-10,18
ref_01,9,2.886579864025407e-15,2.0222473695596932e-10,18
ref_01,29,2.6645352591003757e-15,6.531780671892307e-11,18
ref_02,0,1.8318679906315083e-15,8.448480803835423e-11,18
ref_02,9,1.1102230246251565e-15,3.603620180037126e-10,18
ref_02,29,1.6653345369377348e-15,4.847136442220901e-10,18
ref_03,0,1.7208456881689926e-15,1.400302929166486e-10,18
ref_03,9,4.773959005888173e-15,7.423234249515076e-10,18
ref_03,29,3.885780586188048e-15,1.5872900216429287e-10,18
ref_04,0,2.3869795029440866e-15,5.315605733358097e-10,18
ref_04,9,2.4424906541753444e-15,1.2908174529258076e-10,18
ref_04,29,2.886579864025407e-15,3.1423563751076244e-10,18
ref_05,0,2.6645352591003757e-15,2.9785551802774535e-10,18
ref_05,9,2.1094237467877974e-15,4.853300539231498e-10,18
ref_05,29,2.55351295663786e-15,2.3048027375516256e-10,18
