dataset,theta_deg,checkpoints,auc_median,auc_min,auc_max,violations,unique_scores_median
fashion_mnist,0,9,1.0,0.6805555555555556,1.0,0,1
mnist,0,9,0.8333333333333334,0.16666666666666666,1.0,0,1
fashion_mnist,15,9,1.0,0.6805555555555556,1.0,0,18
mnist,15,9,0.8194444444444444,0.19444444444444445,1.0,0,18
fashion_mnist,30,9,1.0,0.6805555555555556,1.0,0,18
mnist,30,9,0.7654320987654321,0.2631172839506173,1.0,0,18
fashion_mnist,45,9,1.0,0.6666666666666666,1.0,0,18
mnist,45,9,0.6527777777777778,0.375,1.0,0,18
fashion_mnist,60,9,0.9444444444444444,0.6388888888888888,1.0,0,18
mnist,60,9,0.5771604938271605,0.4027777777777778,0.9722222222222222,0,18
fashion_mnist,90,9,0.5115740740740741,0.3765432098765432,0.5833333333333334,0,18
mnist,90,9,0.4444444444444444,0.41898148148148145,0.8233024691358025,0,18
