ref,dataset,seed,round,theta_deg,generated,violations,unique_scores,auc,attacker_median,honest_median
ref_00,fashion_mnist,137,0,0,18,0,1,1.0,0.505793889460302,-0.17655244358568123
ref_00,fashion_mnist,137,0,15,18,0,18,1.0,0.46410451322670865,-0.17655244358568123
ref_00,fashion_mnist,137,0,30,18,0,18,1.0,0.35646884520143907,-0.17655244358568123
ref_00,fashion_mnist,137,0,45,18,0,18,1.0,0.22005187856749153,-0.17655244358568123
ref_00,fashion_mnist,137,0,60,18,0,18,0.9444444444444444,0.07865100210875287,-0.17655244358568123
ref_00,fashion_mnist,137,0,90,18,0,18,0.5115740740740741,-0.17507576181960632,-0.17655244358568123
ref_00,fashion_mnist,137,9,0,18,0,1,1.0,0.46385126610960825,-0.1576197095045403
ref_00,fashion_mnist,137,9,15,18,0,18,1.0,0.43969776178077113,-0.1576197095045403
ref_00,fashion_mnist,137,9,30,18,0,18,0.8773148148148148,0.3717811246683267,-0.1576197095045403
ref_00,fashion_mnist,137,9,45,18,0,18,0.6666666666666666,0.2729013987643586,-0.1576197095045403
ref_00,fashion_mnist,137,9,60,18,0,18,0.6388888888888888,0.15625876386648468,-0.1576197095045403
ref_00,fashion_mnist,137,9,90,18,0,18,0.5277777777777778,-0.09603705109846628,-0.1576197095045403
ref_00,fashion_mnist,137,29,0,18,0,1,1.0,0.5244613410469576,-0.20150277771797037
ref_00,fashion_mnist,137,29,15,18,0,18,1.0,0.49682184264539353,-0.20150277771797037
ref_00,fashion_mnist,137,29,30,18,0,18,1.0,0.41938103162866613,-0.20150277771797037
ref_00,fashion_mnist,137,29,45,18,0,18,0.7006172839506173,0.3080124593706033,-0.20150277771797037
ref_00,fashion_mnist,137,29,60,18,0,18,0.6666666666666666,0.17478651368789397,-0.20150277771797037
ref_00,fashion_mnist,137,29,90,18,0,18,0.5555555555555556,-0.11033050669883192,-0.20150277771797037
ref_01,fashion_mnist,2024,0,0,18,0,1,1.0,0.6074563047870664,-0.3349664676534174
ref_01,fashion_mnist,2024,0,15,18,0,18,1.0,0.5556862189368974,-0.3349664676534174
ref_01,fashion_mnist,2024,0,30,18,0,18,1.0,0.42825853643475353,-0.3349664676534174
ref_01,fashion_mnist,2024,0,45,18,0,18,1.0,0.27082971587083526,-0.3349664676534174
ref_01,fashion_mnist,2024,0,60,18,0,18,0.9984567901234568,0.11283394262251456,-0.3349664676534174
ref_01,fashion_mnist,2024,0,90,18,0,18,0.5833333333333334,-0.19252622817100884,-0.3349664676534174
ref_01,fashion_mnist,2024,9,0,18,0,1,1.0,0.4424572056553771,-0.04039061461522006
ref_01,fashion_mnist,2024,9,15,18,0,18,1.0,0.41873090553448145,-0.04039061461522006
ref_01,fashion_mnist,2024,9,30,18,0,18,1.0,0.35200549823342875,-0.04039061461522006
ref_01,fashion_mnist,2024,9,45,18,0,18,1.0,0.25148463990485026,-0.04039061461522006
ref_01,fashion_mnist,2024,9,60,18,0,18,1.0,0.1353738409116793,-0.04039061461522006
ref_01,fashion_mnist,2024,9,90,18,0,18,0.3888888888888889,-0.10106804148603507,-0.04039061461522006
ref_01,fashion_mnist,2024,29,0,18,0,1,1.0,0.48537172133811046,-0.05734561365147256
ref_01,fashion_mnist,2024,29,15,18,0,18,1.0,0.4597365227619546,-0.05734561365147256
ref_01,fashion_mnist,2024,29,30,18,0,18,1.0,0.3875125258078394,-0.05734561365147256
ref_01,fashion_mnist,2024,29,45,18,0,18,1.0,0.27861407802440613,-0.05734561365147256
ref_01,fashion_mnist,2024,29,60,18,0,18,1.0,0.1521465133153574,-0.05734561365147256
ref_01,fashion_mnist,2024,29,90,18,0,18,0.4305555555555556,-0.10648956824054745,-0.05734561365147256
ref_02,fashion_mnist,42,0,0,18,0,1,1.0,0.46625350158025364,-0.18927720697362316
ref_02,fashion_mnist,42,0,15,18,0,18,1.0,0.4187714317156108,-0.18927720697362316
ref_02,fashion_mnist,42,0,30,18,0,18,1.0,0.30910700830540877,-0.18927720697362316
ref_02,fashion_mnist,42,0,45,18,0,18,1.0,0.18470336597270823,-0.18927720697362316
ref_02,fashion_mnist,42,0,60,18,0,18,1.0,0.0648854235505353,-0.18927720697362316
ref_02,fashion_mnist,42,0,90,18,0,18,0.5555555555555556,-0.1688152867582708,-0.18927720697362316
ref_02,fashion_mnist,42,9,0,18,0,1,0.7222222222222222,0.18246966594278266,-0.021877355198714844
ref_02,fashion_mnist,42,9,15,18,0,18,0.7222222222222222,0.17276868774472856,-0.021877355198714844
ref_02,fashion_mnist,42,9,30,18,0,18,0.7222222222222222,0.14564210064483857,-0.021877355198714844
ref_02,fashion_mnist,42,9,45,18,0,18,0.7222222222222222,0.10740511475307027,-0.021877355198714844
ref_02,fashion_mnist,42,9,60,18,0,18,0.7222222222222222,0.05895054284155295,-0.021877355198714844
ref_02,fashion_mnist,42,9,90,18,0,18,0.404320987654321,-0.04082074092055961,-0.021877355198714844
ref_02,fashion_mnist,42,29,0,18,0,1,0.6805555555555556,0.10710544340752837,-0.010822165047258026
ref_02,fashion_mnist,42,29,15,18,0,18,0.6805555555555556,0.10140730832122344,-0.010822165047258026
ref_02,fashion_mnist,42,29,30,18,0,18,0.6805555555555556,0.08556523362185817,-0.010822165047258026
ref_02,fashion_mnist,42,29,45,18,0,18,0.6805555555555556,0.06291835729099624,-0.010822165047258026
ref_02,fashion_mnist,42,29,60,18,0,18,0.6805555555555556,0.03466856306029296,-0.010822165047258026
ref_02,fashion_mnist,42,29,90,18,0,18,0.3765432098765432,-0.02432035698731703,-0.010822165047258026
ref_03,mnist,137,0,0,18,0,1,1.0,0.18255941545417448,-0.05674807714117722
ref_03,mnist,137,0,15,18,0,18,1.0,0.1668716953719926,-0.05674807714117722
ref_03,mnist,137,0,30,18,0,18,1.0,0.12599925370389592,-0.05674807714117722
ref_03,mnist,137,0,45,18,0,18,1.0,0.07864722964270554,-0.05674807714117722
ref_03,mnist,137,0,60,18,0,18,0.9444444444444444,0.03167271741176079,-0.05674807714117722
ref_03,mnist,137,0,90,18,0,18,0.43364197530864196,-0.06816336901936965,-0.05674807714117722
ref_03,mnist,137,9,0,18,0,1,0.16666666666666666,-0.2625947409913906,0.4238863377964324
ref_03,mnist,137,9,15,18,0,18,0.19444444444444445,-0.24763979491788424,0.4238863377964324
ref_03,mnist,137,9,30,18,0,18,0.2631172839506173,-0.20814017680531446,0.4238863377964324
ref_03,mnist,137,9,45,18,0,18,0.375,-0.15118757730757829,0.4238863377964324
ref_03,mnist,137,9,60,18,0,18,0.4027777777777778,-0.0810625064200317,0.4238863377964324
ref_03,mnist,137,9,90,18,0,18,0.41898148148148145,0.06387177861186491,0.4238863377964324
ref_03,mnist,137,29,0,18,0,1,0.2916666666666667,-0.2228555373106709,0.42345402356342077
ref_03,mnist,137,29,15,18,0,18,0.3055555555555556,-0.21044063895450138,0.42345402356342077
ref_03,mnist,137,29,30,18,0,18,0.3626543209876543,-0.17784891934167507,0.42345402356342077
ref_03,mnist,137,29,45,18,0,18,0.41358024691358025,-0.13082516599149085,0.42345402356342077
ref_03,mnist,137,29,60,18,0,18,0.4166666666666667,-0.07190266660717294,0.42345402356342077
ref_03,mnist,137,29,90,18,0,18,0.43132716049382713,0.05133872319512177,0.42345402356342077
ref_04,mnist,2024,0,0,18,0,1,1.0,0.5122587252249413,-0.2560400114073974
ref_04,mnist,2024,0,15,18,0,18,1.0,0.47328226270932927,-0.2560400114073974
ref_04,mnist,2024,0,30,18,0,18,1.0,0.3747819842285973,-0.2560400114073974
ref_04,mnist,2024,0,45,18,0,18,1.0,0.249603291604636,-0.2560400114073974
ref_04,mnist,2024,0,60,18,0,18,0.9444444444444444,0.1168518999019807,-0.2560400114073974
ref_04,mnist,2024,0,90,18,0,18,0.8233024691358025,-0.16359802941731838,-0.2560400114073974
ref_04,mnist,2024,9,0,18,0,1,0.8194444444444444,0.2689540496073373,-0.020348137198573008
ref_04,mnist,2024,9,15,18,0,18,0.7916666666666666,0.25483792893693896,-0.020348137198573008
ref_04,mnist,2024,9,30,18,0,18,0.6666666666666666,0.21641707284357728,-0.020348137198573008
ref_04,mnist,2024,9,45,18,0,18,0.6527777777777778,0.16146713648972963,-0.020348137198573008
ref_04,mnist,2024,9,60,18,0,18,0.5771604938271605,0.09383875767946848,-0.020348137198573008
ref_04,mnist,2024,9,90,18,0,18,0.4444444444444444,-0.055044344027238415,-0.020348137198573008
ref_04,mnist,2024,29,0,18,0,1,0.8055555555555556,0.2412822933292158,-0.007870296258401235
ref_04,mnist,2024,29,15,18,0,18,0.783179012345679,0.2284651871674749,-0.007870296258401235
ref_04,mnist,2024,29,30,18,0,18,0.6388888888888888,0.19353167599750676,-0.007870296258401235
ref_04,mnist,2024,29,45,18,0,18,0.625,0.14415682620966003,-0.007870296258401235
ref_04,mnist,2024,29,60,18,0,18,0.5493827160493827,0.08216160466522845,-0.007870296258401235
ref_04,mnist,2024,29,90,18,0,18,0.4444444444444444,-0.051717683011640134,-0.007870296258401235
ref_05,mnist,42,0,0,18,0,1,1.0,0.5194105978246567,-0.2915706504008466
ref_05,mnist,42,0,15,18,0,18,1.0,0.4655023737734222,-0.2915706504008466
ref_05,mnist,42,0,30,18,0,18,1.0,0.34272638720835513,-0.2915706504008466
ref_05,mnist,42,0,45,18,0,18,1.0,0.20614470728163023,-0.2915706504008466
ref_05,mnist,42,0,60,18,0,18,0.9722222222222222,0.07615441737948765,-0.2915706504008466
ref_05,mnist,42,0,90,18,0,18,0.7361111111111112,-0.18397482522448316,-0.2915706504008466
ref_05,mnist,42,9,0,18,0,1,0.9305555555555556,0.30346690470078674,-0.03964697977719349
ref_05,mnist,42,9,15,18,0,18,0.8888888888888888,0.2886934359466612,-0.03964697977719349
ref_05,mnist,42,9,30,18,0,18,0.8256172839506173,0.24560797068685958,-0.03964697977719349
ref_05,mnist,42,9,45,18,0,18,0.7368827160493827,0.18139725785823324,-0.03964697977719349
ref_05,mnist,42,9,60,18,0,18,0.5864197530864198,0.10393544985833425,-0.03964697977719349
ref_05,mnist,42,9,90,18,0,18,0.4861111111111111,-0.061334646130829805,-0.03964697977719349
ref_05,mnist,42,29,0,18,0,1,0.8333333333333334,0.23954982495094448,-0.033019070038619314
ref_05,mnist,42,29,15,18,0,18,0.8194444444444444,0.22773504312805243,-0.033019070038619314
ref_05,mnist,42,29,30,18,0,18,0.7654320987654321,0.19284279774735463,-0.033019070038619314
ref_05,mnist,42,29,45,18,0,18,0.6388888888888888,0.14121807223257826,-0.033019070038619314
ref_05,mnist,42,29,60,18,0,18,0.5694444444444444,0.07869144979820177,-0.033019070038619314
ref_05,mnist,42,29,90,18,0,18,0.4591049382716049,-0.05098424800804302,-0.033019070038619314
