method,scenario,ep3_tpr,st5_tpr,ep3_fpr,st5_fpr,ep3_acc,st5_acc
fed_mdbscan_g,6.2,,,0.3639,0.2008,0.2733,0.3448
fed_mdbscan_g,3.1,1.0,1.0,0.1726,0.0541,0.4869,0.5428
mdbg_l0_only,6.2,,,,0.1649,,0.4041
mdbg_l0_only,3.1,,1.0,,0.0199,,0.5554
flame_hdbscan,6.2,,,0.4588,0.4547,0.2337,0.2457
flame_hdbscan,3.1,1.0,1.0,0.3395,0.3241,0.3516,0.34
krum_bound30,6.2,,,0.3222,0.3222,0.3844,0.4002
krum_bound30,3.1,1.0,1.0,0.1528,0.1528,0.5011,0.5092
fltrust_normalized,6.2,,,0.3123,0.3169,0.5919,0.5765
fltrust_normalized,3.1,0.4971,0.5014,0.3237,0.3282,0.6161,0.5857
fedavg,6.2,,,0.0,0.0,0.5892,0.4914
fedavg,3.1,0.0,0.0,0.0,0.0,0.5017,0.4376
