attack,alpha,n,TPR,FPR,J,J_min,J_max,alarm_recall
adaptive_gaussian,0.01,18,0.3194,0.36,-0.0406,-0.2458,0.1743,1.0
adaptive_gaussian,0.1,9,0.1019,0.0787,0.0231,-0.0403,0.1694,0.3296
gaussian,0.01,18,1.0,0.1306,0.8694,0.737,0.9794,1.0
gaussian,0.1,18,1.0,0.0122,0.9878,0.9208,1.0,1.0
gaussian,0.5,9,1.0,0.0052,0.9948,0.9685,0.9995,1.0
label_flip,0.01,9,0.4012,0.2621,0.1392,-0.0243,0.3259,1.0
label_flip,0.1,9,0.4463,0.0634,0.3829,0.0731,0.6889,0.7444
label_flip,0.5,9,0.7222,0.0083,0.7139,0.2222,0.9648,0.8926
minmax_omniscient,0.1,12,0.1278,0.0394,0.0884,-0.1815,0.6661,0.2806
minsum_omniscient,0.01,12,0.0,0.3732,-0.3732,-0.4894,-0.2032,1.0
patch_backdoor,0.01,9,0.4232,0.4019,0.0213,-0.0707,0.1547,1.0
patch_backdoor,0.1,9,0.0052,0.0022,0.003,-0.0056,0.0335,0.0
stealth_gaussian,0.01,18,0.3388,0.3613,-0.0225,-0.2231,0.1638,1.0
stealth_gaussian,0.1,9,0.0994,0.0799,0.0194,-0.0569,0.1579,0.3259
